State,State Abbreviation,County,FIPS,Socioeconomic Status,Household Composition & Disability,Minority Status & Language,Housing Type & Transportation,Epidemiological Factors,Healthcare System Factors,CCVI Score
Texas,TX,Brooks,48047,0.987265202,0.990448902,0.992995861,0.980897803,0.807704553,0.864374403,0.999682
Texas,TX,Dimmit,48127,0.995224451,0.99872652,0.994269341,0.991085642,0.427889207,0.654568609,0.999363
Texas,TX,Zavala,48507,0.987583572,0.99745304,0.995542821,0.980579433,0.380133715,0.833810888,0.999045
Georgia,GA,Clay,13061,0.995542821,0.961795606,0.64597262,0.986628462,0.876154091,0.962432346,0.998727
Texas,TX,Jim Hogg,48247,0.983126393,0.99936326,0.992677491,0.88443171,0.452085323,0.865329513,0.998408
Texas,TX,Hudspeth,48229,0.992359121,0.931868832,0.99808978,0.964024196,0.448583254,0.657752308,0.99809
Georgia,GA,Quitman,13239,0.983444763,0.971665075,0.873925501,0.370264247,0.948424069,0.972938555,0.997771
Mississippi,MS,Quitman,28119,0.99936326,0.937599491,0.800382044,0.962113976,0.958930277,0.709009869,0.997453
Florida,FL,Hendry,12051,0.968481375,0.815982171,0.992359121,0.991404011,0.349888571,0.961795606,0.997135
Florida,FL,Hamilton,12047,0.991722381,0.852594715,0.893982808,0.987265202,0.534224769,0.975485514,0.996816
Mississippi,MS,Humphreys,28053,0.99713467,0.992040751,0.801655524,0.829990449,0.983444763,0.668576886,0.996498
Georgia,GA,Turner,13287,0.934097421,0.969436485,0.816937281,0.983126393,0.869149952,0.958611907,0.99618
Texas,TX,Zapata,48505,0.977395734,0.964024196,0.99936326,0.857688634,0.364851958,0.799426934,0.995861
Texas,TX,La Salle,48283,0.667303407,0.556829035,0.993632601,0.993632601,0.741483604,0.799108564,0.995543
Texas,TX,Presidio,48377,0.987901942,0.99808978,0.99840815,0.804520853,0.455269023,0.598535498,0.995224
Georgia,GA,Randolph,13243,0.966252786,0.993950971,0.620184655,0.973575294,0.863100923,0.809933142,0.994906
Mississippi,MS,Tunica,28143,0.933460681,0.742438714,0.886023559,0.982171283,0.94014645,0.712193569,0.994588
Texas,TX,Culberson,48109,0.978987584,0.995861191,0.987265202,0.992359121,0.449538364,0.47214263,0.994269
New York,NY,Bronx,36005,0.94078319,0.673670805,0.996497931,0.975485514,0.878701051,0.914358485,0.993951
Georgia,GA,Clinch,13065,0.980897803,0.966252786,0.776822668,0.970709965,0.661572748,0.837312958,0.993633
Texas,TX,Duval,48131,0.978350844,0.99777141,0.989812162,0.93950971,0.241324419,0.849092646,0.993314
North Carolina,NC,Robeson,37155,0.954154728,0.792741165,0.920407514,0.865647883,0.888888889,0.959567017,0.992996
Alabama,AL,Perry,01105,0.994587711,0.94141993,0.798153454,0.94110156,0.830945559,0.989493792,0.992677
Georgia,GA,Stewart,13259,0.982808023,0.137217447,0.969436485,0.956701687,0.787328876,0.957338427,0.992359
Georgia,GA,Dooly,13093,0.970391595,0.667303407,0.916268704,0.935689271,0.710920089,0.972301815,0.992041
Texas,TX,Frio,48163,0.890162369,0.782871697,0.993950971,0.995861191,0.392868513,0.716014008,0.991722
Kentucky,KY,Fulton,21075,0.953517988,0.991085642,0.513212353,0.901305317,0.950015918,0.854823305,0.991404
