Location,FIPS,Diabetes_Prevalence_Both_Sexes,Male_Obesity_%,Female_Obesity_%,life_expectancy,mortality_risk_0-5,mortality_risk_5-25,mortality_risk_25-45,mortality_risk_45-65,mortality_risk_65-85,tubercolosis_mortality,AIDS_mortality,diarrheal_mortality,lower_respiratory_mortality,meningitis_mortality,hepatitis_mortality,other_resp_mortality,interstitial_lung_mortality,asthma_mortality,other_pneumoconiosis_mortality,coal_pneumoconiosis_mortality,asbestosis_mortality,silicosis_mortality,pneumoconiosis_mortality,COPD_mortality,chronic_respiratory_mortality
Autauga County,1001,15.45,37.1,38.79,75.67,0.87,1.2,3.55,15.66,58.37,0.31,2.0,1.89,34.15,0.51,0.2,0.99,5.72,1.07,0.37,0.08,0.15,0.01,0.61,73.41,81.79
Baldwin County,1003,13.44,33.47,33.9,78.08,0.75,1.03,3.23,12.32,50.49,0.2,1.81,1.44,21.82,0.41,0.21,0.93,6.34,0.94,0.25,0.03,0.52,0.02,0.81,45.27,54.28
Barbour County,1005,19.36,41.51,51.62,75.42,1.01,1.31,4.01,16.25,56.25,0.42,4.03,2.02,33.95,0.64,0.2,1.14,6.47,1.63,0.37,0.03,0.1,0.02,0.51,60.07,69.82
Bibb County,1007,16.68,40.65,45.2,73.97,1.07,1.5,4.5,18.12,61.11,0.26,1.24,2.71,41.3,0.61,0.2,1.24,5.55,1.31,0.5,0.32,0.47,0.04,1.32,75.08,84.49
Blount County,1009,15.06,38.37,41.56,76.16,0.75,1.17,3.56,14.62,57.86,0.26,1.05,3.56,54.02,0.46,0.21,1.14,5.26,1.09,0.46,0.18,0.56,0.05,1.25,78.32,87.05
Bullock County,1011,23.33,41.9,56.05,73.86,1.25,1.49,4.81,19.24,56.83,0.58,3.87,2.38,30.74,0.88,0.22,1.43,5.58,2.05,0.47,0.03,0.08,0.02,0.59,41.85,51.49
Butler County,1013,18.87,39.81,50.28,73.39,1.2,1.66,5.11,19.14,59.32,0.42,3.26,1.91,36.84,0.66,0.23,1.27,5.4,1.74,0.43,0.05,0.28,0.03,0.79,65.89,75.09
Calhoun County,1015,16.51,37.96,41.39,74.02,0.96,1.1,4.33,18.59,62.4,0.37,1.73,3.4,61.55,0.63,0.25,1.12,5.4,1.14,0.48,0.04,0.27,0.02,0.8,78.86,87.32
Chambers County,1017,18.45,40.68,47.68,74.06,1.06,1.33,4.58,18.12,60.67,0.35,3.5,1.63,31.09,0.61,0.19,1.28,6.19,1.42,0.45,0.02,0.16,0.01,0.63,74.48,84.0
Cherokee County,1019,15.27,39.47,41.72,75.08,0.9,1.28,4.05,16.67,58.92,0.24,0.96,2.47,44.22,0.47,0.19,1.14,5.57,1.01,0.41,0.03,0.15,0.01,0.6,84.73,93.04
Chilton County,1021,15.56,41.84,44.26,74.53,0.97,1.37,4.22,17.66,59.63,0.19,1.13,2.19,44.68,0.55,0.23,1.05,4.85,0.97,0.43,0.13,0.56,0.04,1.15,80.01,88.02
Choctaw County,1023,19.38,41.25,49.86,75.29,1.07,1.5,4.39,16.33,54.41,0.29,2.16,1.45,29.41,0.58,0.16,1.28,5.59,1.46,0.44,0.03,0.45,0.02,0.94,50.92,60.19
Clarke County,1025,18.72,41.77,46.61,75.46,1.03,1.47,4.31,15.67,55.72,0.29,2.09,1.5,27.31,0.59,0.2,1.15,6.19,1.45,0.41,0.03,0.82,0.02,1.29,59.21,69.3
Clay County,1027,15.75,39.22,45.37,75.06,1.05,1.35,4.08,16.7,57.3,0.24,1.12,2.46,46.05,0.57,0.18,1.13,5.53,1.09,0.46,0.04,0.15,0.03,0.67,67.87,76.28
Cleburne County,1029,15.11,37.39,41.26,74.3,0.94,1.36,4.2,18.15,60.76,0.18,0.98,2.32,46.73,0.48,0.17,1.07,4.86,1.05,0.46,0.04,0.18,0.03,0.71,85.14,92.84
Coffee County,1031,15.64,39.05,39.67,76.48,0.9,1.13,3.47,14.3,55.82,0.23,1.73,1.52,29.08,0.5,0.2,1.04,6.8,1.5,0.37,0.02,0.11,0.01,0.51,69.57,79.42
Colbert County,1033,16.54,40.23,41.57,75.07,0.89,1.27,4.09,16.67,58.77,0.27,1.16,2.44,37.49,0.52,0.16,1.15,5.6,1.38,0.34,0.03,0.6,0.01,0.99,71.32,80.43
Conecuh County,1035,19.9,40.58,49.47,74.05,1.28,1.54,5.17,17.86,56.8,0.56,3.57,2.08,32.16,0.69,0.27,1.28,5.46,1.34,0.35,0.1,0.28,0.02,0.74,67.58,76.4
Coosa County,1037,17.71,41.58,48.43,75.19,1.05,1.31,4.32,16.56,56.1,0.25,1.64,2.99,33.6,0.67,0.23,1.19,5.39,1.24,0.5,0.08,0.27,0.1,0.95,69.9,78.67
Covington County,1039,15.23,40.9,40.31,75.15,0.9,1.24,4.03,16.92,57.91,0.26,2.0,1.78,48.57,0.52,0.27,1.0,5.77,1.02,0.32,0.08,0.29,0.01,0.7,65.98,74.47
Crenshaw County,1041,17.27,40.62,44.82,74.07,1.08,1.44,4.57,18.01,60.8,0.33,2.95,1.99,46.19,0.58,0.21,1.2,5.67,1.76,0.44,0.05,0.2,0.02,0.71,98.58,107.91
