FIPS,tubercolosis_mortality,AIDS_mortality,diarrheal_mortality,lower_respiratory_mortality,meningitis_mortality,hepatitis_mortality
,"0.25 (0.24, 0.27)","2.40 (2.38, 2.43)","2.41 (0.86, 2.67)","26.87 (25.79, 28.05)","0.41 (0.40, 0.43)","0.29 (0.27, 0.32)"
1,"0.36 (0.32, 0.39)","2.59 (2.46, 2.71)","2.41 (0.89, 2.70)","37.39 (35.79, 39.12)","0.58 (0.54, 0.64)","0.24 (0.21, 0.27)"
1001,"0.31 (0.20, 0.44)","2.00 (1.46, 2.56)","1.89 (0.74, 2.64)","34.15 (30.36, 38.14)","0.51 (0.41, 0.63)","0.20 (0.13, 0.28)"
1003,"0.20 (0.14, 0.27)","1.81 (1.49, 2.20)","1.44 (0.55, 1.90)","21.82 (19.87, 23.99)","0.41 (0.34, 0.50)","0.21 (0.16, 0.28)"
1005,"0.42 (0.28, 0.59)","4.03 (3.12, 5.08)","2.02 (0.83, 2.87)","33.95 (29.96, 38.46)","0.64 (0.53, 0.76)","0.20 (0.14, 0.28)"
1007,"0.26 (0.18, 0.38)","1.24 (0.85, 1.77)","2.71 (1.08, 3.77)","41.30 (36.30, 47.27)","0.61 (0.50, 0.74)","0.20 (0.14, 0.28)"
1009,"0.26 (0.17, 0.37)","1.05 (0.75, 1.42)","3.56 (1.31, 4.81)","54.02 (48.43, 59.74)","0.46 (0.38, 0.57)","0.21 (0.15, 0.28)"
1011,"0.58 (0.38, 0.86)","3.87 (2.82, 5.28)","2.38 (1.03, 3.51)","30.74 (26.50, 35.48)","0.88 (0.71, 1.08)","0.22 (0.15, 0.32)"
1013,"0.42 (0.28, 0.59)","3.26 (2.37, 4.28)","1.91 (0.68, 2.68)","36.84 (32.16, 41.73)","0.66 (0.54, 0.80)","0.23 (0.16, 0.31)"
1015,"0.37 (0.27, 0.49)","1.73 (1.33, 2.19)","3.40 (1.28, 4.48)","61.55 (56.45, 67.06)","0.63 (0.51, 0.77)","0.25 (0.18, 0.34)"
1017,"0.35 (0.24, 0.51)","3.50 (2.74, 4.41)","1.63 (0.65, 2.31)","31.09 (27.81, 34.56)","0.61 (0.49, 0.75)","0.19 (0.12, 0.27)"
1019,"0.24 (0.15, 0.35)","0.96 (0.63, 1.38)","2.47 (0.93, 3.59)","44.22 (38.87, 50.28)","0.47 (0.37, 0.58)","0.19 (0.13, 0.27)"
1021,"0.19 (0.13, 0.26)","1.13 (0.79, 1.52)","2.19 (0.93, 2.95)","44.68 (39.82, 49.85)","0.55 (0.44, 0.66)","0.23 (0.16, 0.32)"
1023,"0.29 (0.20, 0.41)","2.16 (1.53, 2.95)","1.45 (0.68, 2.07)","29.41 (25.38, 34.08)","0.58 (0.48, 0.70)","0.16 (0.11, 0.21)"
1025,"0.29 (0.20, 0.41)","2.09 (1.55, 2.79)","1.50 (0.59, 2.09)","27.31 (23.70, 30.90)","0.59 (0.49, 0.70)","0.20 (0.15, 0.27)"
1027,"0.24 (0.14, 0.37)","1.12 (0.67, 1.78)","2.46 (1.00, 3.66)","46.05 (40.39, 52.68)","0.57 (0.45, 0.72)","0.18 (0.11, 0.27)"
1029,"0.18 (0.12, 0.25)","0.98 (0.67, 1.40)","2.32 (1.01, 3.22)","46.73 (40.77, 53.05)","0.48 (0.40, 0.57)","0.17 (0.12, 0.23)"
1031,"0.23 (0.15, 0.34)","1.73 (1.27, 2.28)","1.52 (0.66, 2.26)","29.08 (25.60, 32.77)","0.50 (0.38, 0.63)","0.20 (0.14, 0.28)"
1033,"0.27 (0.17, 0.39)","1.16 (0.82, 1.58)","2.44 (0.89, 3.55)","37.49 (33.52, 41.83)","0.52 (0.39, 0.67)","0.16 (0.10, 0.23)"
1035,"0.56 (0.36, 0.83)","3.57 (2.58, 4.89)","2.08 (0.79, 3.14)","32.16 (27.66, 36.74)","0.69 (0.54, 0.87)","0.27 (0.18, 0.40)"
1037,"0.25 (0.16, 0.37)","1.64 (1.08, 2.34)","2.99 (1.27, 4.13)","33.60 (28.67, 38.48)","0.67 (0.55, 0.79)","0.23 (0.16, 0.32)"
1039,"0.26 (0.18, 0.36)","2.00 (1.51, 2.61)","1.78 (0.72, 2.45)","48.57 (43.40, 53.84)","0.52 (0.42, 0.62)","0.27 (0.20, 0.35)"
1041,"0.33 (0.20, 0.51)","2.95 (2.03, 4.16)","1.99 (0.82, 2.92)","46.19 (40.09, 52.53)","0.58 (0.46, 0.73)","0.21 (0.14, 0.30)"
1043,"0.21 (0.14, 0.29)","1.03 (0.77, 1.37)","2.44 (0.84, 3.28)","33.16 (29.82, 36.52)","0.46 (0.38, 0.55)","0.21 (0.15, 0.28)"
1045,"0.27 (0.18, 0.37)","2.03 (1.57, 2.59)","1.85 (0.73, 2.59)","26.20 (22.85, 29.40)","0.47 (0.39, 0.56)","0.23 (0.17, 0.31)"
1047,"0.68 (0.48, 0.92)","4.70 (3.75, 5.76)","2.81 (1.10, 4.05)","49.67 (44.62, 55.61)","1.00 (0.79, 1.22)","0.23 (0.16, 0.32)"
1049,"0.29 (0.20, 0.39)","0.87 (0.62, 1.18)","2.53 (0.95, 3.40)","34.55 (31.24, 38.55)","0.45 (0.37, 0.55)","0.19 (0.14, 0.26)"
1051,"0.31 (0.22, 0.42)","2.04 (1.60, 2.55)","2.56 (0.90, 3.45)","33.24 (29.74, 37.18)","0.49 (0.41, 0.59)","0.18 (0.13, 0.25)"
1053,"0.43 (0.30, 0.60)","2.75 (2.11, 3.52)","2.22 (0.84, 2.99)","32.49 (28.70, 36.43)","0.59 (0.49, 0.70)","0.26 (0.19, 0.34)"
1055,"0.29 (0.21, 0.40)","1.41 (1.08, 1.82)","3.35 (1.29, 4.40)","56.20 (51.28, 61.66)","0.58 (0.48, 0.71)","0.22 (0.16, 0.30)"
1057,"0.27 (0.17, 0.41)","1.33 (0.83, 1.95)","1.90 (0.72, 2.79)","47.93 (42.05, 54.52)","0.51 (0.40, 0.63)","0.17 (0.11, 0.25)"
1059,"0.30 (0.20, 0.43)","1.13 (0.76, 1.61)","2.51 (0.94, 3.56)","43.79 (38.64, 48.95)","0.52 (0.41, 0.64)","0.18 (0.13, 0.26)"
1061,"0.22 (0.13, 0.32)","1.63 (1.13, 2.29)","1.37 (0.53, 2.02)","24.28 (20.99, 27.93)","0.45 (0.36, 0.56)","0.21 (0.15, 0.29)"
1063,"0.49 (0.33, 0.72)","3.34 (2.29, 4.62)","2.00 (0.96, 2.95)","42.98 (37.21, 49.24)","0.92 (0.73, 1.13)","0.19 (0.12, 0.27)"
1065,"0.31 (0.20, 0.45)","2.14 (1.48, 2.98)","2.07 (0.80, 2.95)","42.37 (36.48, 48.11)","0.80 (0.65, 0.97)","0.19 (0.13, 0.26)"
1067,"0.29 (0.18, 0.45)","3.14 (2.30, 4.23)","1.46 (0.65, 2.21)","24.05 (20.78, 27.89)","0.49 (0.40, 0.60)","0.15 (0.10, 0.22)"
1069,"0.30 (0.20, 0.43)","3.10 (2.49, 3.76)","1.57 (0.63, 2.26)","21.96 (19.52, 24.48)","0.55 (0.43, 0.66)","0.24 (0.17, 0.32)"
1071,"0.24 (0.15, 0.34)","0.91 (0.63, 1.25)","2.28 (0.81, 3.18)","34.96 (31.29, 39.00)","0.49 (0.40, 0.61)","0.20 (0.14, 0.28)"
1073,"0.48 (0.39, 0.58)","3.83 (3.36, 4.32)","3.53 (1.30, 4.33)","39.55 (37.26, 42.16)","0.74 (0.64, 0.88)","0.34 (0.28, 0.41)"
1075,"0.23 (0.13, 0.38)","1.33 (0.80, 2.03)","1.41 (0.58, 2.18)","44.74 (39.03, 51.31)","0.48 (0.37, 0.62)","0.17 (0.11, 0.25)"
1077,"0.25 (0.17, 0.33)","1.03 (0.77, 1.34)","2.46 (0.96, 3.28)","33.02 (29.87, 36.47)","0.48 (0.40, 0.58)","0.21 (0.15, 0.28)"
1079,"0.25 (0.17, 0.35)","0.87 (0.60, 1.20)","2.17 (0.79, 2.98)","35.66 (31.38, 40.20)","0.51 (0.41, 0.61)","0.15 (0.10, 0.20)"
1081,"0.37 (0.26, 0.51)","2.70 (2.19, 3.31)","1.76 (0.63, 2.44)","34.98 (31.59, 38.50)","0.52 (0.44, 0.63)","0.18 (0.13, 0.24)"
1083,"0.35 (0.24, 0.48)","2.12 (1.68, 2.65)","2.63 (0.90, 3.49)","27.44 (24.55, 30.41)","0.49 (0.40, 0.59)","0.17 (0.12, 0.23)"
1085,"0.55 (0.38, 0.76)","5.05 (3.88, 6.46)","2.37 (0.98, 3.30)","31.34 (26.99, 35.93)","0.88 (0.73, 1.05)","0.22 (0.16, 0.30)"
1087,"0.54 (0.38, 0.75)","5.05 (3.93, 6.43)","2.53 (0.96, 3.53)","37.59 (33.06, 42.94)","0.91 (0.76, 1.09)","0.21 (0.15, 0.29)"
1089,"0.41 (0.31, 0.53)","1.38 (1.15, 1.66)","2.17 (0.82, 2.83)","31.13 (28.77, 33.76)","0.54 (0.46, 0.65)","0.15 (0.11, 0.20)"
1091,"0.26 (0.16, 0.38)","1.80 (1.22, 2.49)","1.56 (0.69, 2.26)","35.22 (30.59, 40.15)","0.69 (0.56, 0.83)","0.17 (0.11, 0.23)"
1093,"0.24 (0.16, 0.36)","1.03 (0.71, 1.48)","1.81 (0.75, 2.55)","40.09 (35.26, 45.14)","0.44 (0.36, 0.54)","0.16 (0.12, 0.22)"
1095,"0.28 (0.19, 0.39)","0.99 (0.72, 1.30)","2.83 (1.15, 3.83)","39.64 (35.83, 43.58)","0.51 (0.41, 0.63)","0.18 (0.13, 0.24)"
1097,"0.38 (0.29, 0.48)","5.70 (5.03, 6.38)","1.63 (0.63, 2.17)","36.03 (33.50, 38.64)","0.59 (0.48, 0.71)","0.44 (0.36, 0.53)"
