region,Location,smoking_prevalence
AL,Autauga County,25.1
AL,Baldwin County,20.9
AL,Barbour County,26.25
AL,Bibb County,29.41
AL,Blount County,27.17
AL,Bullock County,26.84
AL,Butler County,28.14
AL,Calhoun County,26.42
AL,Chambers County,28.18
AL,Cherokee County,25.76
AL,Chilton County,27.62
AL,Choctaw County,24.66
AL,Clarke County,24.2
AL,Clay County,28.87
AL,Cleburne County,28.52
AL,Coffee County,23.26
AL,Colbert County,25.16
AL,Conecuh County,27.43
AL,Coosa County,29.65
AL,Covington County,28.47
AL,Crenshaw County,27.32
AL,Cullman County,26.8
AL,Dale County,23.49
AL,Dallas County,26.39
AL,DeKalb County,27.46
AL,Elmore County,26.15
AL,Escambia County,27.42
AL,Etowah County,27.76
AL,Fayette County,27.04
AL,Franklin County,25.28
AL,Geneva County,27.21
AL,Greene County,25.99
AL,Hale County,26.06
AL,Henry County,23.39
AL,Houston County,24.85
AL,Jackson County,28.09
AL,Jefferson County,22.06
AL,Lamar County,26.07
AL,Lauderdale County,23.14
AL,Lawrence County,26.98
AL,Lee County,20.66
AL,Limestone County,23.59
AL,Lowndes County,25.5
AL,Macon County,24.63
AL,Madison County,19.97
AL,Marengo County,21.48
AL,Marion County,26.78
AL,Marshall County,27.46
AL,Mobile County,25.03
AL,Monroe County,26.29
AL,Montgomery County,21.57
AL,Morgan County,25.79
AL,Perry County,25.76
AL,Pickens County,26.69
AL,Pike County,22.17
AL,Randolph County,28.51
AL,Russell County,26.83
AL,St. Clair County,25.74
AL,Shelby County,17.69
AL,Sumter County,24.19
AL,Talladega County,26.41
AL,Tallapoosa County,26.83
AL,Tuscaloosa County,22.4
AL,Walker County,28.7
AL,Washington County,25.16
AL,Wilcox County,25.72
AL,Winston County,28.17
AK,Aleutians East Borough,24.63
AK,Aleutians West Census Area,26.25
AK,Anchorage Municipality,19.14
AK,Bethel Census Area,33.11
AK,Bristol Bay Borough,27.69
AK,Denali Borough/Yukon-Koyukuk Census Area,31.85
AK,Dillingham Census Area,31.35
AK,Fairbanks North Star Borough,20.73
AK,Haines Borough,18.13
AK,Juneau City and Borough,18.76
AK,Kenai Peninsula Borough,23.09
AK,Kodiak Island Borough,22.44
AK,Lake and Peninsula Borough,30.07
AK,Matanuska-Susitna Borough,23.23
AK,Nome Census Area,36.89
AK,North Slope Borough,35.39
AK,Northwest Arctic Borough,41.18
AK,Sitka City and Borough,18.82
AK,Hoonah-Angoon Census Area/Skagway Municipality/Yakutat City and Borough,21.74
AK,Southeast Fairbanks Census Area,22.56
AK,Valdez-Cordova Census Area,22.11
AK,Wade Hampton Census Area,38.62
AK,Ketchikan Gateway Borough/Petersburg Census Area/Prince of Wales-Hyder Census Area/Wrangell City and Borough,22.69
AZ,Apache County,26.8
AZ,Cochise County,20.99
AZ,Coconino County,21.54
AZ,Gila County,26.69
AZ,Graham County,22.29
AZ,Greenlee County,20.67
AZ,La Paz County,26.75
AZ,Maricopa County,19.71
AZ,Mohave County,29.22
AZ,Navajo County,24.48
AZ,Pima County,19.53
AZ,Pinal County,23.56
AZ,Santa Cruz County,17.71
AZ,Yavapai County,23.69
