FIPS,other_resp_mortality,interstitial_lung_mortality,asthma_mortality,other_pneumoconiosis_mortality,coal_pneumoconiosis_mortality,asbestosis_mortality,silicosis_mortality,pneumoconiosis_mortality,COPD_mortality,chronic_respiratory_mortality
,"0.73 (0.69, 0.78)","5.46 (3.55, 6.13)","1.17 (1.09, 1.29)","0.18 (0.16, 0.22)","0.08 (0.07, 0.10)","0.17 (0.15, 0.19)","0.02 (0.02, 0.03)","0.46 (0.43, 0.51)","45.10 (43.68, 46.89)","52.92 (51.60, 54.36)"
1,"1.13 (1.04, 1.24)","6.25 (4.11, 7.08)","1.33 (1.22, 1.48)","0.38 (0.33, 0.46)","0.08 (0.05, 0.13)","0.34 (0.28, 0.39)","0.02 (0.02, 0.03)","0.82 (0.73, 0.94)","63.90 (61.95, 66.07)","73.44 (71.54, 75.49)"
1001,"0.99 (0.76, 1.27)","5.72 (3.50, 7.56)","1.07 (0.76, 1.49)","0.37 (0.25, 0.53)","0.08 (0.01, 0.29)","0.15 (0.05, 0.30)","0.01 (0.00, 0.04)","0.61 (0.36, 1.06)","73.41 (68.49, 78.50)","81.79 (77.37, 86.77)"
1003,"0.93 (0.76, 1.14)","6.34 (4.05, 7.66)","0.94 (0.71, 1.18)","0.25 (0.18, 0.34)","0.03 (0.00, 0.10)","0.52 (0.31, 0.78)","0.02 (0.00, 0.05)","0.81 (0.54, 1.18)","45.27 (42.60, 48.37)","54.28 (51.92, 56.65)"
1005,"1.14 (0.89, 1.42)","6.47 (4.05, 8.51)","1.63 (1.19, 2.12)","0.37 (0.25, 0.54)","0.03 (0.00, 0.10)","0.10 (0.03, 0.23)","0.02 (0.00, 0.05)","0.51 (0.33, 0.83)","60.07 (55.35, 64.86)","69.82 (65.35, 74.56)"
1007,"1.24 (0.99, 1.53)","5.55 (3.60, 7.50)","1.31 (0.92, 1.83)","0.50 (0.33, 0.68)","0.32 (0.07, 0.83)","0.47 (0.21, 0.91)","0.04 (0.01, 0.10)","1.32 (0.76, 2.36)","75.08 (69.01, 81.26)","84.49 (78.58, 90.47)"
1009,"1.14 (0.90, 1.41)","5.26 (3.30, 6.81)","1.09 (0.78, 1.47)","0.46 (0.31, 0.67)","0.18 (0.05, 0.48)","0.56 (0.29, 0.97)","0.05 (0.01, 0.12)","1.25 (0.80, 2.02)","78.32 (73.78, 83.31)","87.05 (82.51, 91.87)"
1011,"1.43 (1.03, 1.94)","5.58 (3.48, 7.49)","2.05 (1.45, 2.77)","0.47 (0.28, 0.70)","0.03 (0.00, 0.13)","0.08 (0.02, 0.20)","0.02 (0.00, 0.07)","0.59 (0.34, 1.02)","41.85 (36.23, 47.24)","51.49 (46.55, 56.67)"
1013,"1.27 (0.99, 1.55)","5.40 (3.42, 7.09)","1.74 (1.27, 2.31)","0.43 (0.29, 0.63)","0.05 (0.00, 0.21)","0.28 (0.11, 0.64)","0.03 (0.00, 0.09)","0.79 (0.46, 1.38)","65.89 (60.11, 71.23)","75.09 (69.58, 80.45)"
1015,"1.12 (0.88, 1.40)","5.40 (3.48, 6.69)","1.14 (0.87, 1.52)","0.48 (0.33, 0.65)","0.04 (0.01, 0.12)","0.27 (0.14, 0.46)","0.02 (0.01, 0.05)","0.80 (0.54, 1.18)","78.86 (74.96, 82.99)","87.32 (83.60, 91.57)"
1017,"1.28 (0.98, 1.66)","6.19 (3.83, 8.03)","1.42 (1.04, 1.87)","0.45 (0.29, 0.64)","0.02 (0.00, 0.09)","0.16 (0.05, 0.37)","0.01 (0.00, 0.05)","0.63 (0.39, 1.09)","74.48 (68.97, 79.52)","84.00 (79.03, 88.98)"
1019,"1.14 (0.87, 1.45)","5.57 (3.42, 7.42)","1.01 (0.72, 1.37)","0.41 (0.27, 0.59)","0.03 (0.00, 0.10)","0.15 (0.06, 0.31)","0.01 (0.00, 0.04)","0.60 (0.38, 0.91)","84.73 (79.06, 90.61)","93.04 (87.64, 98.97)"
1021,"1.05 (0.84, 1.28)","4.85 (3.12, 6.36)","0.97 (0.70, 1.29)","0.43 (0.29, 0.61)","0.13 (0.02, 0.36)","0.56 (0.26, 0.99)","0.04 (0.01, 0.10)","1.15 (0.69, 1.95)","80.01 (74.89, 85.39)","88.02 (83.11, 93.15)"
1023,"1.28 (1.02, 1.57)","5.59 (3.44, 7.35)","1.46 (1.07, 1.91)","0.44 (0.30, 0.64)","0.03 (0.00, 0.13)","0.45 (0.15, 1.00)","0.02 (0.00, 0.08)","0.94 (0.53, 1.64)","50.92 (45.76, 56.26)","60.19 (55.31, 64.85)"
1025,"1.15 (0.93, 1.42)","6.19 (3.91, 8.07)","1.45 (1.05, 1.94)","0.41 (0.28, 0.58)","0.03 (0.00, 0.14)","0.82 (0.35, 1.64)","0.02 (0.00, 0.08)","1.29 (0.71, 2.25)","59.21 (54.02, 64.43)","69.30 (64.64, 73.89)"
1027,"1.13 (0.86, 1.47)","5.53 (3.25, 7.47)","1.09 (0.74, 1.55)","0.46 (0.29, 0.69)","0.04 (0.00, 0.17)","0.15 (0.04, 0.38)","0.03 (0.00, 0.10)","0.67 (0.39, 1.18)","67.87 (61.62, 74.54)","76.28 (70.56, 82.38)"
1029,"1.07 (0.89, 1.28)","4.86 (2.94, 6.50)","1.05 (0.75, 1.44)","0.46 (0.31, 0.66)","0.04 (0.00, 0.17)","0.18 (0.07, 0.41)","0.03 (0.01, 0.09)","0.71 (0.43, 1.20)","85.14 (78.28, 92.16)","92.84 (86.16, 99.53)"
1031,"1.04 (0.77, 1.40)","6.80 (4.29, 8.61)","1.50 (1.08, 2.01)","0.37 (0.22, 0.56)","0.02 (0.00, 0.10)","0.11 (0.03, 0.27)","0.01 (0.00, 0.04)","0.51 (0.29, 0.87)","69.57 (64.98, 74.44)","79.42 (75.10, 84.10)"
1033,"1.15 (0.83, 1.56)","5.60 (3.50, 7.19)","1.38 (0.98, 1.87)","0.34 (0.23, 0.51)","0.03 (0.00, 0.13)","0.60 (0.28, 1.15)","0.01 (0.00, 0.04)","0.99 (0.59, 1.67)","71.32 (66.79, 75.88)","80.43 (76.26, 84.74)"
1035,"1.28 (0.93, 1.71)","5.46 (3.38, 7.40)","1.34 (0.91, 1.87)","0.35 (0.22, 0.52)","0.10 (0.01, 0.46)","0.28 (0.09, 0.63)","0.02 (0.00, 0.08)","0.74 (0.37, 1.52)","67.58 (61.60, 73.64)","76.40 (70.80, 82.06)"
1037,"1.19 (0.96, 1.49)","5.39 (3.46, 7.21)","1.24 (0.88, 1.69)","0.50 (0.33, 0.74)","0.08 (0.01, 0.30)","0.27 (0.10, 0.58)","0.10 (0.02, 0.30)","0.95 (0.51, 1.78)","69.90 (63.74, 76.71)","78.67 (72.75, 84.96)"
1039,"1.00 (0.81, 1.23)","5.77 (3.63, 7.39)","1.02 (0.75, 1.34)","0.32 (0.22, 0.44)","0.08 (0.01, 0.24)","0.29 (0.14, 0.53)","0.01 (0.00, 0.04)","0.70 (0.44, 1.15)","65.98 (61.81, 70.13)","74.47 (70.34, 78.53)"
1041,"1.20 (0.93, 1.57)","5.67 (3.61, 7.72)","1.76 (1.25, 2.42)","0.44 (0.28, 0.67)","0.05 (0.01, 0.23)","0.20 (0.07, 0.47)","0.02 (0.00, 0.06)","0.71 (0.41, 1.26)","98.58 (91.66, 106.22)","107.91 (101.13, 115.58)"
1043,"1.29 (1.03, 1.61)","5.27 (3.37, 6.68)","0.82 (0.60, 1.11)","0.44 (0.30, 0.61)","0.10 (0.03, 0.26)","0.25 (0.13, 0.43)","0.01 (0.00, 0.04)","0.81 (0.53, 1.20)","81.58 (77.30, 86.04)","89.78 (85.41, 94.38)"
1045,"0.98 (0.78, 1.21)","6.43 (4.17, 8.33)","1.54 (1.12, 2.09)","0.30 (0.20, 0.45)","0.05 (0.01, 0.20)","0.20 (0.08, 0.43)","0.03 (0.01, 0.10)","0.59 (0.34, 1.03)","75.32 (70.51, 80.41)","84.85 (80.72, 89.71)"
1047,"1.36 (1.02, 1.82)","6.62 (4.26, 8.52)","2.47 (1.92, 3.13)","0.49 (0.34, 0.69)","0.02 (0.00, 0.09)","0.14 (0.06, 0.29)","0.01 (0.00, 0.04)","0.67 (0.44, 1.01)","54.46 (50.38, 58.77)","65.59 (61.91, 69.67)"
1049,"1.35 (1.08, 1.69)","5.20 (3.33, 6.71)","0.96 (0.72, 1.28)","0.40 (0.28, 0.58)","0.05 (0.01, 0.16)","0.23 (0.10, 0.43)","0.01 (0.00, 0.04)","0.70 (0.45, 1.09)","93.61 (88.65, 98.68)","101.83 (96.98, 106.88)"
1051,"1.00 (0.81, 1.22)","5.67 (3.60, 7.25)","1.01 (0.72, 1.34)","0.37 (0.25, 0.54)","0.07 (0.01, 0.26)","0.23 (0.10, 0.43)","0.02 (0.00, 0.05)","0.68 (0.41, 1.11)","82.90 (78.01, 88.07)","91.25 (86.59, 96.20)"
1053,"1.08 (0.84, 1.35)","7.04 (4.61, 9.01)","1.22 (0.93, 1.64)","0.28 (0.20, 0.40)","0.04 (0.00, 0.16)","0.62 (0.30, 1.16)","0.02 (0.00, 0.05)","0.95 (0.55, 1.66)","57.34 (53.01, 61.94)","67.63 (63.45, 71.87)"
1055,"1.24 (0.99, 1.52)","5.37 (3.39, 6.73)","1.30 (1.00, 1.66)","0.49 (0.34, 0.68)","0.06 (0.01, 0.17)","0.54 (0.30, 0.87)","0.02 (0.00, 0.04)","1.09 (0.75, 1.59)","88.44 (83.78, 92.84)","97.44 (92.63, 101.76)"
