state,date,confirmed_cases,confirmed_cases_norm,confirmed_deaths,confirmed_deaths_norm
AK,2020-02-15,0.0,0.0,0.0,0.0
AK,2020-02-16,0.0,0.0,0.0,0.0
AK,2020-02-17,0.0,0.0,0.0,0.0
AK,2020-02-18,0.0,0.0,0.0,0.0
AK,2020-02-19,0.0,0.0,0.0,0.0
AK,2020-02-20,0.0,0.0,0.0,0.0
AK,2020-02-21,0.0,0.0,0.0,0.0
AK,2020-02-22,0.0,0.0,0.0,0.0
AK,2020-02-23,0.0,0.0,0.0,0.0
AK,2020-02-24,0.0,0.0,0.0,0.0
AK,2020-02-25,0.0,0.0,0.0,0.0
AK,2020-02-26,0.0,0.0,0.0,0.0
AK,2020-02-27,0.0,0.0,0.0,0.0
AK,2020-02-28,0.0,0.0,0.0,0.0
AK,2020-02-29,0.0,0.0,0.0,0.0
AK,2020-03-01,0.0,0.0,0.0,0.0
AK,2020-03-02,0.0,0.0,0.0,0.0
AK,2020-03-03,0.0,0.0,0.0,0.0
AK,2020-03-04,0.0,0.0,0.0,0.0
AK,2020-03-05,0.0,0.0,0.0,0.0
AK,2020-03-06,0.0,0.0,0.0,0.0
AK,2020-03-07,0.0,0.0,0.0,0.0
AK,2020-03-08,0.0,0.0,0.0,0.0
AK,2020-03-09,0.0,0.0,0.0,0.0
AK,2020-03-10,0.0,0.0,0.0,0.0
AK,2020-03-11,0.0,0.0,0.0,0.0
AK,2020-03-12,0.0,0.0,0.0,0.0
AK,2020-03-13,0.0,0.0,0.0,0.0
AK,2020-03-14,1.0,0.0,0.0,0.0
AK,2020-03-15,1.0,0.0,0.0,0.0
AK,2020-03-16,1.0,0.0,0.0,0.0
AK,2020-03-17,1.0,0.0,0.0,0.0
AK,2020-03-18,4.0,33.0,0.0,0.0
AK,2020-03-19,9.0,49.0,0.0,0.0
AK,2020-03-20,12.0,52.0,0.0,0.0
AK,2020-03-21,14.0,54.0,0.0,0.0
AK,2020-03-22,15.0,62.0,0.0,0.0
AK,2020-03-23,25.0,98.0,0.0,0.0
AK,2020-03-24,38.0,113.0,0.0,0.0
AK,2020-03-25,39.0,84.0,0.0,0.0
AK,2020-03-26,41.0,92.0,0.0,0.0
AK,2020-03-27,52.0,99.0,0.0,0.0
AK,2020-03-28,60.0,111.0,0.0,0.0
AK,2020-03-29,76.0,135.0,1.0,0.0
AK,2020-03-30,85.0,115.0,1.0,0.0
AK,2020-03-31,80.0,109.0,1.0,0.0
AK,2020-04-01,86.0,114.0,1.0,0.0
AK,2020-04-02,92.0,111.0,1.0,0.0
AK,2020-04-03,86.0,118.0,1.0,0.0
AK,2020-04-04,86.0,124.0,1.0,0.0
AK,2020-04-05,80.0,102.0,0.0,0.0
AK,2020-04-06,76.0,102.0,0.0,0.0
AK,2020-04-07,74.0,128.0,0.0,0.0
AK,2020-04-08,86.0,138.0,4.0,2.0
AK,2020-04-09,86.0,127.0,4.0,2.0
AK,2020-04-10,88.0,119.0,4.0,2.0
AK,2020-04-11,88.0,107.0,4.0,2.0
AK,2020-04-12,89.0,119.0,4.0,2.0
AK,2020-04-13,89.0,120.0,4.0,2.0
AK,2020-04-14,88.0,89.0,4.0,2.0
AK,2020-04-15,74.0,91.0,0.0,0.0
AK,2020-04-16,69.0,105.0,0.0,0.0
AK,2020-04-17,67.0,126.0,0.0,0.0
AK,2020-04-18,65.0,122.0,0.0,0.0
AK,2020-04-19,58.0,109.0,0.0,0.0
AK,2020-04-20,48.0,123.0,0.0,0.0
AK,2020-04-21,45.0,120.0,0.0,0.0
AK,2020-04-22,45.0,113.0,0.0,0.0
AK,2020-04-23,43.0,97.0,0.0,0.0
AK,2020-04-24,37.0,68.0,0.0,0.0
AK,2020-04-25,30.0,61.0,0.0,0.0
AK,2020-04-26,25.0,56.0,0.0,0.0
AK,2020-04-27,22.0,36.0,0.0,0.0
AK,2020-04-28,24.0,36.0,0.0,0.0
AK,2020-04-29,22.0,55.0,0.0,0.0
AK,2020-04-30,20.0,51.0,0.0,0.0
AK,2020-05-01,18.0,50.0,0.0,0.0
AK,2020-05-02,25.0,56.0,4.0,35.0
AK,2020-05-03,26.0,57.0,4.0,35.0
AK,2020-05-04,27.0,47.0,4.0,35.0
AK,2020-05-05,25.0,45.0,4.0,35.0
AK,2020-05-06,20.0,12.0,4.0,35.0
AK,2020-05-07,17.0,25.0,5.0,36.0
AK,2020-05-08,20.0,38.0,5.0,36.0
AK,2020-05-09,14.0,32.0,1.0,2.0
AK,2020-05-10,15.0,33.0,1.0,2.0
AK,2020-05-11,13.0,32.0,1.0,2.0
AK,2020-05-12,13.0,34.0,1.0,2.0
AK,2020-05-13,14.0,40.0,1.0,2.0
AK,2020-05-14,14.0,26.0,0.0,0.0
AK,2020-05-15,16.0,28.0,0.0,0.0
AK,2020-05-16,15.0,28.0,0.0,0.0
AK,2020-05-17,18.0,53.0,0.0,0.0
AK,2020-05-18,22.0,58.0,0.0,0.0
AK,2020-05-19,23.0,57.0,0.0,0.0
AK,2020-05-20,21.0,51.0,0.0,0.0
AK,2020-05-21,25.0,127.0,0.0,0.0
AK,2020-05-22,20.0,112.0,0.0,0.0
AK,2020-05-23,20.0,124.0,0.0,0.0
AK,2020-05-24,20.0,134.0,0.0,0.0
AK,2020-05-25,15.0,128.0,0.0,0.0
AK,2020-05-26,15.0,131.0,0.0,0.0
AK,2020-05-27,19.0,144.0,0.0,0.0
AK,2020-05-28,15.0,72.0,0.0,0.0
AK,2020-05-29,28.0,98.0,0.0,0.0
AK,2020-05-30,32.0,94.0,0.0,0.0
AK,2020-05-31,32.0,126.0,0.0,0.0
AK,2020-06-01,61.0,169.0,0.0,0.0
AK,2020-06-02,65.0,172.0,0.0,0.0
AK,2020-06-03,82.0,184.0,0.0,0.0
AK,2020-06-04,100.0,196.0,0.0,0.0
AK,2020-06-05,115.0,361.0,0.0,0.0
AK,2020-06-06,122.0,364.0,0.0,0.0
AK,2020-06-07,131.0,314.0,0.0,0.0
AK,2020-06-08,111.0,280.0,0.0,0.0
AK,2020-06-09,123.0,327.0,0.0,0.0
AK,2020-06-10,115.0,462.0,1.0,0.0
AK,2020-06-11,118.0,480.0,1.0,0.0
AK,2020-06-12,117.0,389.0,1.0,0.0
AK,2020-06-13,125.0,638.0,2.0,1.0
AK,2020-06-14,145.0,806.0,2.0,1.0
AK,2020-06-15,148.0,871.0,2.0,1.0
AK,2020-06-16,133.0,845.0,2.0,1.0
AK,2020-06-17,134.0,700.0,1.0,0.0
AK,2020-06-18,137.0,816.0,1.0,0.0
AK,2020-06-19,129.0,864.0,1.0,0.0
AK,2020-06-20,136.0,1178.0,0.0,0.0
AK,2020-06-21,125.0,1091.0,0.0,0.0
AK,2020-06-22,127.0,1107.0,0.0,0.0
AK,2020-06-23,134.0,1251.0,0.0,0.0
AK,2020-06-24,154.0,1517.0,0.0,0.0
AK,2020-06-25,152.0,1523.0,0.0,0.0
AK,2020-06-26,177.0,2326.0,0.0,0.0
AK,2020-06-27,178.0,2119.0,2.0,6.0
AK,2020-06-28,182.0,2178.0,2.0,6.0
AK,2020-06-29,200.0,2197.0,2.0,6.0
AK,2020-06-30,214.0,2059.0,2.0,6.0
AK,2020-07-01,227.0,2165.0,2.0,6.0
AK,2020-07-02,246.0,2129.0,2.0,6.0
AK,2020-07-03,252.0,1458.0,2.0,6.0
AK,2020-07-04,283.0,1626.0,0.0,0.0
AK,2020-07-05,311.0,1642.0,1.0,0.0
AK,2020-07-06,312.0,1716.0,1.0,0.0
AK,2020-07-07,315.0,1699.0,1.0,0.0
AK,2020-07-08,292.0,1359.0,1.0,0.0
AK,2020-07-09,301.0,1462.0,1.0,0.0
AK,2020-07-10,302.0,1280.0,1.0,0.0
AK,2020-07-11,296.0,989.0,3.0,2.0
AK,2020-07-12,318.0,1134.0,2.0,1.0
AK,2020-07-13,401.0,1417.0,2.0,1.0
AK,2020-07-14,444.0,1604.0,2.0,1.0
AK,2020-07-15,480.0,1778.0,2.0,1.0
AK,2020-07-16,486.0,1675.0,2.0,1.0
AK,2020-07-17,512.0,1817.0,2.0,1.0
AK,2020-07-18,510.0,1776.0,0.0,0.0
AK,2020-07-19,510.0,1771.0,1.0,0.0
AK,2020-07-20,510.0,2138.0,1.0,0.0
AK,2020-07-21,579.0,2894.0,1.0,0.0
AK,2020-07-22,623.0,3019.0,1.0,0.0
AK,2020-07-23,673.0,3229.0,2.0,1.0
AK,2020-07-24,674.0,3206.0,2.0,1.0
AK,2020-07-25,686.0,3290.0,2.0,1.0
AK,2020-07-26,725.0,3278.0,2.0,2.0
AK,2020-07-27,841.0,3211.0,2.0,2.0
AK,2020-07-28,812.0,2633.0,3.0,21.0
AK,2020-07-29,841.0,2721.0,4.0,22.0
AK,2020-07-30,826.0,2494.0,3.0,21.0
AK,2020-07-31,867.0,2897.0,4.0,21.0
AK,2020-08-01,914.0,2944.0,4.0,19.0
AK,2020-08-02,948.0,2772.0,4.0,18.0
AK,2020-08-03,859.0,2310.0,4.0,18.0
AK,2020-08-04,824.0,2331.0,4.0,-1.0
AK,2020-08-05,758.0,2039.0,3.0,-2.0
AK,2020-08-06,725.0,2067.0,3.0,-2.0
AK,2020-08-07,652.0,1681.0,2.0,-2.0
AK,2020-08-08,609.0,1632.0,2.0,1.0
AK,2020-08-09,545.0,1704.0,2.0,1.0
AK,2020-08-10,502.0,1581.0,2.0,1.0
AK,2020-08-11,494.0,1308.0,1.0,0.0
AK,2020-08-12,481.0,1277.0,1.0,0.0
AK,2020-08-13,489.0,1473.0,2.0,1.0
AK,2020-08-14,543.0,1592.0,2.0,1.0
AK,2020-08-15,580.0,1484.0,2.0,1.0
AK,2020-08-16,579.0,1662.0,2.0,1.0
AK,2020-08-17,583.0,1744.0,2.0,1.0
