FIPS,region,shift,correlation
01001,county,59.0,0.48410972845967537
01003,county,34.0,0.4148933015948451
01005,state,60,0.42473357408761114
01007,county,27.0,0.32101802040968536
01009,county,57.0,0.4049303862303685
01011,state,57,0.584886007345029
01013,county,62.0,0.4410463314064197
01015,county,62.0,0.44533451550982234
01017,county,17.0,0.583209586490054
01019,state,66,0.30346289483701433
01021,county,16.0,0.4189879355187675
01023,state,50,0.43319033206092394
01025,state,58,0.4337615273540877
01027,county,74.0,0.5946911388356908
01029,county,67.0,0.5284666705613865
01031,county,30.0,0.6145667228369168
01033,county,20.0,0.551462225139799
01035,state,74,0.6217291058603491
01037,county,11.0,0.0
01039,state,74,0.4243753349881128
01041,state,61,0.4618555922118168
01043,county,16.0,0.3074055338230985
01045,county,12.0,0.565985454353583
01047,state,74,0.6247412248631089
01049,county,17.0,0.6052971802202328
01051,county,58.0,0.5470789830443281
01053,county,36.0,0.6912446336124644
01055,county,55.0,0.5608065219604154
01057,county,61.0,0.27727028504652235
01059,state,52,0.4694090071243617
01061,state,74,0.20401916271219242
01063,county,74.0,0.42913574135490146
01065,county,42.0,0.4406924400014709
01067,state,61,0.3149500305922891
01069,county,61.0,0.5982141034103485
01071,county,61.0,0.3100207394194837
01073,county,35.0,0.24154411556736521
01075,state,29,0.11116896473286314
01077,county,14.0,0.3420864999194725
01079,county,52.0,0.28967152536410967
01081,county,16.0,0.49434594148287864
01083,county,40.0,0.5556494741147905
01085,state,74,0.4940619007511953
01087,state,61,0.25809083524388166
01089,county,34.0,0.3309040212622102
01091,county,12.0,0.3422125596407253
01093,county,14.0,0.3377973142471516
01095,county,18.0,0.5238746244277743
01097,county,8.0,0.4649931460691536
01099,county,24.0,0.4035861496266034
01101,county,59.0,0.4402223776172499
01103,county,55.0,0.535673561316669
01105,state,54,0.5312290983803142
01107,county,74.0,0.4528298224374635
01109,county,15.0,0.5766480123082441
01111,state,11,0.12946644494188045
01113,county,15.0,0.6299576741130622
01115,county,67.0,0.3482099857482398
01117,county,74.0,0.2275744919053062
01119,state,50,0.47062508999669717
01121,county,62.0,0.4879264410561267
01123,county,53.0,0.31679078288863105
01125,county,36.0,0.5754557319078577
01127,county,16.0,0.460984979394273
01129,county,35.0,0.25231693611455147
01131,county,71.0,0.6276680741629462
01133,state,74,0.16373825367952538
02013,county,15.0,0.6651567946844167
02016,county,10.0,0.2411923199395758
02020,state,32,0.4640790890263069
02050,county,74.0,0.516405645553997
02060,state,0,0.2612331216917781
02070,state,0,0.2612344880975075
02090,county,11.0,0.40068600907169666
02100,state,24,0.41116127514320083
02110,state,60,0.44063810236232065
02122,county,28.0,0.6230286232487873
02150,county,50.0,0.42762754509720113
02164,state,0,0.46306827639055054
02170,county,10.0,0.39015062415658674
02180,state,0,0.2689777806435333
02185,state,74,0.4630167644225434
02188,county,15.0,0.3631440161013469
02220,state,22,0.43045063937734335
02240,county,19.0,0.3032933534223141
02261,state,0,0.39663372645465067
02282,state,65,0.39701011277371007
04001,county,32.0,0.5432190112465795
04003,county,39.0,0.7441393985489662
04005,county,14.0,0.731451854919995
04007,county,24.0,0.473089123991438
04009,county,32.0,0.4615358433581067
04011,state,39,0.5133049812376091
04012,county,50.0,0.6058873847855644
04013,county,38.0,0.7867338205127233
04015,county,40.0,0.7996860776569054
04017,county,51.0,0.7240915746082136
04019,county,48.0,0.7029993062797669
04021,county,29.0,0.6094413473973324
04023,county,29.0,0.8233535546524962
04025,county,23.0,0.5927364909492338
04027,county,39.0,0.8654518808950817
05001,state,60,0.3509680506965847
05003,county,56.0,0.3483448585639992
05005,county,73.0,0.26591877614258025
05007,county,68.0,0.43860880242330524
05009,county,72.0,0.3672117337771349
05011,county,46.0,0.7624988888519568
05015,state,60,0.3820967582590695
05017,state,73,0.5617211074108973
05019,state,60,0.3456548159173546
05021,state,30,0.23158961595245658
05023,state,53,0.23228210547563258
05025,state,64,0.3678658335262468
05027,state,67,0.30047676825465025
05029,county,59.0,0.37935618591897047
05031,county,18.0,0.6168271147635547
05033,county,39.0,0.5781900811069757
05035,county,11.0,0.716856573393231
05037,state,61,0.38044820348158154
05039,county,48.0,0.44312939646747057
05041,state,55,0.4648886304414557
05043,county,56.0,0.537304636518454
05045,county,35.0,0.2963304390035813
05047,state,66,0.31246801698014753
05049,county,74.0,0.21910994286964108
05051,county,48.0,0.5193846577453957
05053,county,49.0,0.3277509731203821
05055,county,48.0,0.586589268141795
05057,state,60,0.49734850414587006
05059,county,27.0,0.6395064358858089
05061,state,61,0.6690766053962073
05063,state,68,0.5603797875375678
05065,county,74.0,0.3621693553320108
05067,county,73.0,0.1927017159783827
05069,county,17.0,0.7621787216800541
05071,county,41.0,0.668155686174801
05075,state,18,0.2756238984095038
05077,county,12.0,0.5387565044457265
05079,county,54.0,0.3474215408648539
05081,state,65,0.5918088604030437
05083,county,58.0,0.4619699977811427
05085,county,51.0,0.28265625870676236
05087,state,21,0.4656148548344683
05089,county,74.0,0.3919093508453541
05091,county,30.0,0.3598640228087711
05093,county,39.0,0.6588855269694477
05095,state,74,0.30889625592227743
05097,county,43.0,0.43254782929101737
05099,state,68,0.3670151870435521
05101,county,64.0,0.40402466698240624
05103,county,53.0,0.34821641246246404
05105,county,74.0,0.16719589012801253
05107,county,27.0,0.38747197233533703
05109,county,44.0,0.4856385801297761
05111,state,64,0.3403617093712583
05113,county,53.0,0.3813942541516671
05115,county,19.0,0.697275864769916
05117,state,62,0.38149004844556694
05119,county,45.0,0.5702245129131083
05121,county,36.0,0.30311956468352724
05123,state,59,0.5688670397485402
05125,county,41.0,0.5921429994208093
05127,state,61,0.2944989374986298
05129,county,13.0,0.308215096149644
05131,county,26.0,0.5596571415772307
05133,state,69,0.5325695432792845
05135,state,43,0.22021625016806895
05137,county,39.0,0.5784742649633231
05139,county,33.0,0.6866302478534507
05141,county,47.0,0.14464898591236677
05143,county,21.0,0.6422503250150664
05145,county,61.0,0.29770476238611054
05147,county,74.0,0.18044913229035112
05149,county,45.0,0.7351271493143721
06001,state,43,0.8095624985345001
06003,state,5,0.4491610225035552
06005,state,32,0.4940959290261819
06007,county,29.0,0.6228550660596233
06009,county,56.0,0.6369779265547517
06011,state,41,0.6416292185948697
06013,county,45.0,0.7537515358177749
06015,state,4,0.26362911246860915
06017,state,36,0.5702148410779038
06019,county,38.0,0.759460455026091
06021,state,39,0.5816570850367815
06023,county,13.0,0.41177925594716314
06025,county,32.0,0.6810789922740382
06027,state,61,0.5186071762203125
06029,state,40,0.6899245578794454
06031,county,31.0,0.675938042836874
06033,state,48,0.41339699398201635
06035,county,37.0,0.6758020599860693
06037,county,38.0,0.8810348081381683
06039,county,37.0,0.7766993931978313
06041,county,20.0,0.6772509032501807
06043,state,38,0.5643225199725784
06045,state,53,0.5518640132457118
06047,county,41.0,0.8166305760854721
06051,county,13.0,0.5658649607547508
06053,county,43.0,0.7951186017610476
06055,county,35.0,0.6975017274497087
06057,county,28.0,0.44194027070453507
06059,county,26.0,0.7738189755872984
06061,county,38.0,0.6134430032710738
06063,state,7,0.5398304244733676
06065,state,40,0.7746806505070899
06067,county,36.0,0.615327846418136
06069,county,34.0,0.7699855060557329
06071,county,38.0,0.7559331623900274
06073,county,35.0,0.7244847561763222
06075,state,40,0.848285101880786
06077,county,36.0,0.7397318203012478
06079,county,33.0,0.6164548285358831
06081,county,43.0,0.7952481476790715
06083,state,46,0.7198634888178342
06085,county,40.0,0.7000854732581963
06087,state,40,0.5455295125280468
06089,state,4,0.45000353103558094
06091,state,53,0.3954791645233293
06093,county,29.0,0.3492468973737961
06095,state,37,0.7199004034628816
06097,county,46.0,0.6871177086870415
06099,county,42.0,0.7331338161366958
06101,county,27.0,0.6570205769645384
06103,county,13.0,0.40719355605104185
06105,county,22.0,0.51352134911587
06107,county,38.0,0.8512130428305447
06109,county,40.0,0.6323203378756762
06111,county,41.0,0.7362047027701715
06113,county,35.0,0.7234370773689497
06115,county,34.0,0.6050861407795021
08001,county,33.0,0.651585905421817
08003,county,51.0,0.4165312894412805
08005,county,29.0,0.6246300611715203
08007,state,35,0.29508429396272035
08009,county,64.0,0.5596750201927548
08011,state,53,0.516466577506602
08013,county,14.0,0.695695509056372
08014,county,13.0,0.7101207166264983
08015,county,15.0,0.450745490145643
08017,state,74,0.4486997047872771
08019,state,25,0.42171205908200865
08021,county,61.0,0.4672876903090456
08023,state,58,0.48970974125681394
08025,county,18.0,0.6132524553102878
08027,state,51,0.4599466781694547
08029,state,69,0.6480627011812091
08031,county,26.0,0.5263368008608602
08033,state,51,0.29358730937601796
08035,county,21.0,0.6653887719753628
08037,county,21.0,0.610295852000277
08039,state,36,0.527193372785458
08041,county,36.0,0.6688904340367073
08043,state,37,0.6069334564358931
08045,county,33.0,0.7021361239048195
08047,state,40,0.2160072271447013
08049,state,74,0.15350232719571738
08051,county,16.0,0.21899486759596884
08053,state,15,0.22378560347964319
08055,state,29,0.5170037620995016
08057,state,74,0.1500957408086059
08059,state,30,0.6719864786269626
08061,state,49,0.5069207433535975
08063,state,37,0.5072992962793178
08065,state,29,0.2242576789508372
08067,state,30,0.3449884162686357
08069,county,19.0,0.657263827957272
08071,state,72,0.48122595223166537
08073,county,13.0,0.3816650394559616
08075,county,30.0,0.5834479835822343
08077,county,29.0,0.5423548151318585
08079,state,1,0.28747386200300135
08081,county,38.0,0.5784499169311594
08083,state,69,0.5913798568072616
08085,state,74,0.6173574754968915
08087,state,58,0.5806394351180044
08089,state,44,0.6534550014885094
08091,state,8,0.17407923671100375
08093,state,32,0.3189168882332686
08095,state,63,0.49048593096700577
08097,state,74,0.3957378562789267
08099,state,39,0.6955367296544733
08101,county,32.0,0.8104722932882987
08103,county,74.0,0.26741324030172137
08105,county,74.0,0.536651749024858
08107,state,74,0.3219873645824238
08109,county,17.0,0.40530091699802917
08111,state,63,0.25954743237121347
08113,state,74,0.21634770159171118
08115,state,13,0.3710029130166682
08117,county,74.0,0.3511920666844398
08119,state,23,0.49199994846183565
08121,county,40.0,0.5529628633977045
08123,county,22.0,0.6136055503903236
08125,county,15.0,0.4465189707880448
09001,state,41,0.6519467431047749
09003,state,50,0.698173289841063
09005,county,33.0,0.6708289549162889
09007,county,58.0,0.7307827721640869
09009,county,69.0,0.6772175867034567
09011,state,74,0.6475786631945758
09013,state,48,0.6436324559207425
09015,state,74,0.6614967465462339
10001,county,31.0,0.742601232170365
10003,state,23,0.5379585774250701
10005,state,43,0.7338353379013146
11001,state,61,0.6269890700184223
12001,county,14.0,0.635253687358363
12003,county,48.0,0.45661074663618956
12005,county,36.0,0.6491928641785932
12007,state,72,0.5300882375263815
12009,county,19.0,0.670952747537182
12011,county,30.0,0.8190730578818658
12013,state,49,0.6146981005470395
12015,county,17.0,0.6601225308064176
12017,state,41,0.3218163573759091
12019,county,21.0,0.6003546033242454
12021,state,14,0.7814435607398058
12023,county,15.0,0.7479853261954769
12027,county,52.0,0.6281953815724356
12029,state,57,0.6379100614201667
12031,county,20.0,0.7319944170212764
12033,county,27.0,0.7324776594686716
12035,county,13.0,0.47210459368268604
12037,state,54,0.4777473161406427
12039,county,23.0,0.6844355207862554
12041,county,38.0,0.3750054066133089
12043,state,0,0.4662848541471427
12045,state,53,0.7026719995612968
12047,state,65,0.3402174397026153
12049,county,39.0,0.642688816869696
12051,county,38.0,0.6940641703253073
12053,state,35,0.29268125322446387
12055,county,19.0,0.5693469296841566
12057,county,26.0,0.7383261801627068
12059,state,18,0.421601630962701
12061,county,28.0,0.5441195599350906
12063,county,18.0,0.7702074980917749
12065,state,47,0.5301204728748374
12067,county,11.0,0.5517547053187658
12069,county,29.0,0.5933642870059531
12071,state,24,0.7508756051298666
12073,county,14.0,0.5501838181873712
12075,county,12.0,0.6283217950439718
12077,county,74.0,0.5597508922078314
12079,county,39.0,0.5830245966409047
12081,state,22,0.7765615390442139
12083,county,41.0,0.7696981089413717
12085,state,7,0.7160685606622332
12086,county,28.0,0.8216858121981532
12087,county,28.0,0.6554415653407015
12089,county,26.0,0.47641103604551766
12091,county,37.0,0.5502662485250323
12093,county,13.0,0.5124832637189594
12095,county,26.0,0.7681238730024188
12097,county,24.0,0.7683579033252849
12099,state,22,0.748328289172084
12101,county,20.0,0.6974148878482013
12103,county,23.0,0.7839913549212131
12105,county,24.0,0.6805820990318509
12107,county,19.0,0.7394881909943481
12109,county,25.0,0.5582424381645618
12111,county,31.0,0.6872485564516319
12113,county,37.0,0.7211223766667426
12115,county,20.0,0.7001429028284566
