FIPS,life_expectancy,mortality_risk_0-5,mortality_risk_5-25,mortality_risk_25-45,mortality_risk_45-65,mortality_risk_65-85
,"79.08 (79.04, 79.11)","0.62 (0.61, 0.64)","0.77 (0.76, 0.77)","2.68 (2.67, 2.69)","11.83 (11.78, 11.87)","49.25 (49.14, 49.36)"
1,"75.65 (75.57, 75.72)","0.91 (0.90, 0.92)","1.11 (1.09, 1.12)","3.84 (3.80, 3.87)","15.86 (15.75, 15.97)","57.46 (57.22, 57.70)"
1001,"75.67 (75.15, 76.18)","0.87 (0.78, 0.97)","1.20 (1.10, 1.32)","3.55 (3.30, 3.79)","15.66 (14.92, 16.41)","58.37 (56.60, 60.11)"
1003,"78.08 (77.72, 78.43)","0.75 (0.70, 0.81)","1.03 (0.97, 1.11)","3.23 (3.08, 3.39)","12.32 (11.90, 12.73)","50.49 (49.31, 51.66)"
1005,"75.42 (74.78, 76.07)","1.01 (0.90, 1.12)","1.31 (1.18, 1.44)","4.01 (3.71, 4.34)","16.25 (15.32, 17.15)","56.25 (54.42, 58.15)"
1007,"73.97 (73.28, 74.68)","1.07 (0.94, 1.21)","1.50 (1.34, 1.66)","4.50 (4.14, 4.89)","18.12 (17.09, 19.27)","61.11 (58.84, 63.30)"
1009,"76.16 (75.66, 76.69)","0.75 (0.68, 0.83)","1.17 (1.06, 1.28)","3.56 (3.32, 3.81)","14.62 (13.92, 15.33)","57.86 (56.09, 59.56)"
1011,"73.86 (72.92, 74.69)","1.25 (1.10, 1.44)","1.49 (1.32, 1.69)","4.81 (4.38, 5.30)","19.24 (17.94, 20.58)","56.83 (54.33, 59.49)"
1013,"73.39 (72.68, 74.13)","1.20 (1.07, 1.35)","1.66 (1.48, 1.86)","5.11 (4.73, 5.56)","19.14 (18.03, 20.25)","59.32 (57.23, 61.38)"
1015,"74.02 (73.58, 74.43)","0.96 (0.89, 1.03)","1.10 (1.03, 1.18)","4.33 (4.13, 4.57)","18.59 (17.96, 19.27)","62.40 (61.15, 63.74)"
1017,"74.06 (73.48, 74.61)","1.06 (0.95, 1.18)","1.33 (1.21, 1.46)","4.58 (4.30, 4.90)","18.12 (17.27, 18.96)","60.67 (59.07, 62.27)"
1019,"75.08 (74.45, 75.72)","0.90 (0.79, 1.03)","1.28 (1.15, 1.43)","4.05 (3.74, 4.38)","16.67 (15.75, 17.56)","58.92 (56.84, 60.98)"
1021,"74.53 (74.02, 75.08)","0.97 (0.87, 1.07)","1.37 (1.25, 1.51)","4.22 (3.95, 4.51)","17.66 (16.82, 18.49)","59.63 (57.95, 61.38)"
1023,"75.29 (74.52, 76.03)","1.07 (0.94, 1.23)","1.50 (1.32, 1.67)","4.39 (4.01, 4.77)","16.33 (15.28, 17.38)","54.41 (52.30, 56.62)"
1025,"75.46 (74.78, 76.08)","1.03 (0.92, 1.14)","1.47 (1.34, 1.62)","4.31 (4.00, 4.65)","15.67 (14.85, 16.58)","55.72 (53.70, 57.55)"
1027,"75.06 (74.32, 75.79)","1.05 (0.93, 1.21)","1.35 (1.20, 1.53)","4.08 (3.71, 4.45)","16.70 (15.57, 17.78)","57.30 (54.95, 59.58)"
1029,"74.30 (73.62, 75.04)","0.94 (0.82, 1.07)","1.36 (1.22, 1.54)","4.20 (3.86, 4.58)","18.15 (17.04, 19.23)","60.76 (58.42, 63.02)"
1031,"76.48 (75.94, 76.98)","0.90 (0.82, 0.99)","1.13 (1.03, 1.24)","3.47 (3.24, 3.72)","14.30 (13.63, 15.00)","55.82 (54.15, 57.51)"
1033,"75.07 (74.57, 75.58)","0.89 (0.81, 0.98)","1.27 (1.16, 1.38)","4.09 (3.83, 4.35)","16.67 (15.99, 17.37)","58.77 (57.10, 60.38)"
