apple_mobility_14d,google_mobility_14d,fb_movement_change,asbestosis_mortality,pneumoconiosis_mortality,diarrheal_mortality,other_pneumoconiosis_mortality,silicosis_mortality,COPD_mortality,chronic_respiratory_mortality,interstitial_lung_mortality,other_resp_mortality,POP_DENSITY,predicted,real_values
62.41571428571425,-12.821428571428573,-0.22073714285714288,0.31,0.85,3.53,0.39,0.04,48.44,59.24,6.92,1.35,593.4293429342936,0.93550617,4.0
59.71857142857139,-15.523809523809526,-0.24308857142857146,0.31,0.85,3.53,0.39,0.04,48.44,59.24,6.92,1.35,593.4293429342936,0.9466718,4.0
58.58214285714282,-17.047619047619047,-0.25277642857142857,0.31,0.85,3.53,0.39,0.04,48.44,59.24,6.92,1.35,593.4293429342936,0.7149785,4.0
60.88642857142854,-21.357142857142858,-0.2636864285714285,0.31,0.85,3.53,0.39,0.04,48.44,59.24,6.92,1.35,593.4293429342936,0.15582019,3.0
73.08357142857139,-19.433333333333334,-0.20964714285714287,0.31,0.85,3.53,0.39,0.04,48.44,59.24,6.92,1.35,593.4293429342936,1.4283955,3.0
76.15428571428566,-18.457142857142856,-0.19174642857142865,0.31,0.85,3.53,0.39,0.04,48.44,59.24,6.92,1.35,593.4293429342936,1.686271,3.0
87.7071428571428,-12.857142857142856,-0.10068214285714293,0.31,0.85,3.53,0.39,0.04,48.44,59.24,6.92,1.35,593.4293429342936,2.9484723,4.0
89.91428571428568,-12.821428571428573,-0.09564500000000008,0.31,0.85,3.53,0.39,0.04,48.44,59.24,6.92,1.35,593.4293429342936,3.1712801,4.0
95.09571428571422,-11.047619047619047,-0.09321500000000006,0.31,0.85,3.53,0.39,0.04,48.44,59.24,6.92,1.35,593.4293429342936,3.0849612,5.0
106.54785714285707,-10.688095238095237,-0.07899500000000005,0.31,0.85,3.53,0.39,0.04,48.44,59.24,6.92,1.35,593.4293429342936,4.742892,5.0
105.50428571428564,-10.069047619047616,-0.08055000000000004,0.31,0.85,3.53,0.39,0.04,48.44,59.24,6.92,1.35,593.4293429342936,4.2977414,5.0
109.47357142857136,-12.023809523809517,-0.0930464285714286,0.31,0.85,3.53,0.39,0.04,48.44,59.24,6.92,1.35,593.4293429342936,5.7922797,5.0
111.60285714285706,-10.3047619047619,-0.08042571428571434,0.31,0.85,3.53,0.39,0.04,48.44,59.24,6.92,1.35,593.4293429342936,5.729447,6.0
111.20714285714277,-10.430952380952377,-0.08448500000000005,0.31,0.85,3.53,0.39,0.04,48.44,59.24,6.92,1.35,593.4293429342936,5.686753,6.0
112.98142857142851,-10.038095238095233,-0.0840978571428572,0.31,0.85,3.53,0.39,0.04,48.44,59.24,6.92,1.35,593.4293429342936,6.207256,7.0
115.28071428571421,-9.347619047619043,-0.07609071428571433,0.31,0.85,3.53,0.39,0.04,48.44,59.24,6.92,1.35,593.4293429342936,6.6986556,8.0
