FIPS,date,ID,cases,type,model,POP_DENSITY,TOT_H,TOT_BA,ELDERLY_POP,fb_movement_change,test_positivity,rt_mean_rt.live,movement_mean,rt_mean,total_cases_percent,total_cases_mean
1001,2021-05-07,"Autauga County, 1001, Alabama",24.0,actual,mobility,93.51,0.029,0.197,0.214,0.043,0.113,NULL,NULL,NULL,0.464,0.212
1001,2021-05-14,"Autauga County, 1001, Alabama",112.0,actual,mobility,93.51,0.029,0.197,0.214,0.048,0.171,NULL,NULL,NULL,0.464,0.212
1001,2021-05-21,"Autauga County, 1001, Alabama",92.0,actual,mobility,93.51,0.029,0.197,0.214,0.048,0.17,NULL,NULL,NULL,0.464,0.212
1001,2021-05-28,"Autauga County, 1001, Alabama",31.0,actual,mobility,93.51,0.029,0.197,0.214,0.016,0.096,NULL,NULL,NULL,0.464,0.212
1001,2021-06-04,"Autauga County, 1001, Alabama",59.0,projection,mobility,93.51,0.03,0.19,0.21,0.02,NULL,1.206,0.022,0.82,0.277,0.236
1001,2021-06-11,"Autauga County, 1001, Alabama",45.0,projection,mobility,93.51,0.03,0.19,0.21,0.02,NULL,NULL,0.022,0.82,0.277,0.236
1001,2021-06-18,"Autauga County, 1001, Alabama",25.0,projection,mobility,93.51,0.03,0.19,0.21,0.02,NULL,NULL,0.022,0.82,0.277,0.236
1001,2021-06-25,"Autauga County, 1001, Alabama",26.0,projection,mobility,93.51,0.03,0.19,0.21,0.02,NULL,NULL,0.022,0.82,0.277,0.236
1003,2021-05-07,"Baldwin County, 1003, Alabama",100.0,actual,mobility,137.138,0.046,0.089,0.276,0.112,0.113,NULL,NULL,NULL,0.272,0.212
1003,2021-05-14,"Baldwin County, 1003, Alabama",306.0,actual,mobility,137.138,0.046,0.089,0.276,0.134,0.171,NULL,NULL,NULL,0.272,0.212
1003,2021-05-21,"Baldwin County, 1003, Alabama",121.0,actual,mobility,137.138,0.046,0.089,0.276,0.136,0.17,NULL,NULL,NULL,0.272,0.212
1003,2021-05-28,"Baldwin County, 1003, Alabama",80.0,actual,mobility,137.138,0.046,0.089,0.276,0.146,0.096,NULL,NULL,NULL,0.272,0.212
1003,2021-06-04,"Baldwin County, 1003, Alabama",313.0,projection,mobility,137.14,0.04,0.09,0.28,0.15,NULL,1.206,0.022,0.82,0.297,0.236
1003,2021-06-11,"Baldwin County, 1003, Alabama",115.0,projection,mobility,137.14,0.04,0.09,0.28,0.15,NULL,NULL,0.022,0.82,0.297,0.236
1003,2021-06-18,"Baldwin County, 1003, Alabama",105.0,projection,mobility,137.14,0.04,0.09,0.28,0.15,NULL,NULL,0.022,0.82,0.297,0.236
1003,2021-06-25,"Baldwin County, 1003, Alabama",130.0,projection,mobility,137.14,0.04,0.09,0.28,0.15,NULL,NULL,0.022,0.82,0.297,0.236
1005,2021-05-08,"Barbour County, 1005, Alabama",12.0,actual,mobility,28.117,0.042,0.484,0.256,-0.034,0.187,NULL,NULL,NULL,0.142,0.212
1005,2021-05-15,"Barbour County, 1005, Alabama",8.0,actual,mobility,28.117,0.042,0.484,0.256,-0.06,0.173,NULL,NULL,NULL,0.142,0.212
