FIPS,region,shift,correlation
01001,county,32.0,0.6067047047237201
01003,county,31.0,0.5194104888744246
01005,county,9.0,0.6710956926259424
01007,county,15.0,0.16201721055983392
01009,county,56.0,0.20571462058803341
01011,state,57,0.5887929216910887
01013,state,49,0.48830087982955417
01015,county,64.0,0.19634875848820668
01017,county,14.0,0.6270010448158421
01019,county,74.0,0.08001587991005467
01021,county,60.0,0.4267960727017431
01023,state,50,0.6010955439875217
01025,county,8.0,0.469221366199888
01027,county,74.0,0.40175976776898603
01029,county,72.0,0.23053167415570464
01031,county,7.0,0.5304046295761361
01033,county,16.0,0.34991595815764254
01035,state,74,0.5033294000459297
01037,state,13,0.27929314797393967
01039,county,14.0,0.2189087434274158
01041,county,18.0,0.3964247011467269
01043,county,19.0,0.2631075597530652
01045,county,10.0,0.5819056797413727
01047,county,19.0,0.6624308611600823
01049,county,20.0,0.49329038959203736
01051,county,28.0,0.6141949434173611
01053,county,36.0,0.6769355998372814
01055,county,27.0,0.5032587732494987
01057,county,9.0,0.0
01059,county,24.0,0.5517523236024361
01061,county,74.0,0.006917897767801312
01063,state,23,0.5088289160410081
01065,county,18.0,0.5154990764578534
01067,county,17.0,0.19759830503033549
01069,county,63.0,0.4078930573503467
01071,state,28,0.04053481116664437
01073,county,32.0,0.2982870669958575
01075,state,25,0.0024771192172030046
01077,county,16.0,0.4383556290282904
01079,county,13.0,0.0
01081,county,15.0,0.48403338735965595
01083,county,26.0,0.06114100067629797
01085,state,74,0.5098079189857957
01087,state,14,0.3562545646310882
01089,county,28.0,0.4176207041786181
01091,county,14.0,0.629801712031329
01093,county,14.0,0.27101061075513194
01095,county,20.0,0.6212309441698803
01097,county,34.0,0.40827816662662075
01099,county,58.0,0.47103376839271577
01101,county,13.0,0.5747610178266253
01103,county,27.0,0.3959735966398389
01105,county,56.0,0.5384979320647297
01107,county,7.0,0.10152981682326606
01109,county,15.0,0.6303160448210701
01111,state,11,0.3121642235963686
01113,county,11.0,0.6093627535943494
01115,county,17.0,0.3066039717010129
01117,county,19.0,0.5015012092648655
01119,state,50,0.504310008104398
01121,county,30.0,0.2655699307507747
01123,state,18,0.6202799204537056
01125,county,35.0,0.5042440935014411
01127,county,21.0,0.47905531233939275
01129,county,34.0,0.30324902899358697
01131,county,67.0,0.6110649337467119
01133,county,11.0,0.09600999505573553
02013,state,17,0.27510012341083306
02016,county,25.0,0.380532061431767
02020,state,32,0.41142364119493524
02050,state,59,0.2073384974265701
02060,state,0,0.3760008534871079
02070,state,30,0.37659058200480205
02090,state,15,0.2529096909313527
02100,state,24,0.40406588425650086
02110,state,59,0.3872070788192019
02122,county,27.0,0.5835333429898059
02150,county,52.0,0.3174007468161227
02164,state,0,0.44289289677735244
02170,state,38,0.3217983645890447
02180,state,0,0.23640807545008818
02185,state,74,0.387712890909154
02188,state,0,0.29699765031876274
02220,state,23,0.43458974311288623
02240,state,34,0.3808290185870649
02261,state,0,0.38138842743733203
02282,state,65,0.38139038341233295
04001,county,29.0,0.668532920881876
04003,county,37.0,0.7403554640980262
04005,county,15.0,0.6517101790256038
04007,county,21.0,0.29954101566725194
04009,county,36.0,0.33284586438395247
04011,state,38,0.43940685344225544
04012,county,57.0,0.682664266702184
04013,county,36.0,0.8011381589810522
04015,county,36.0,0.8091261215658496
04017,county,54.0,0.7452304890865528
04019,county,48.0,0.6175739453454344
04021,state,38,0.631198094111331
04023,county,29.0,0.7839387694081511
04025,county,32.0,0.6952957364265091
04027,county,53.0,0.851302805487454
05001,county,50.0,0.1400564658174358
05003,county,56.0,0.42231004377799475
05005,county,9.0,0.0
05007,county,16.0,0.4314479356794562
05009,county,11.0,0.0
05011,county,43.0,0.812616910537838
05015,state,19,0.018179812693090613
05017,state,73,0.6217537768051428
05019,county,14.0,0.03699357706729319
05021,county,27.0,0.0
05023,state,0,0.11795727090471446
05025,county,57.0,0.35150249987481197
05027,county,10.0,0.0
05029,state,34,0.026020784666699624
05031,county,66.0,0.45177434725506127
05033,county,60.0,0.17969705808938588
05035,county,11.0,0.6526814116026237
05037,county,11.0,0.22548738967960114
05039,county,44.0,0.2998966126071527
05041,state,47,0.1683878241287928
05043,state,34,0.0935242215667829
05045,county,33.0,0.16793403325841852
05047,county,56.0,0.0
05049,county,10.0,0.0
05051,county,50.0,0.33118239272434813
05053,state,53,0.08413956778804357
05055,county,47.0,0.4300627827263291
05057,state,57,0.3145270357559801
05059,county,26.0,0.6248005513014204
05061,county,52.0,0.6763348170018022
05063,state,70,0.3915244754082748
05065,county,12.0,0.0
05067,county,12.0,0.0
05069,county,16.0,0.659731792117344
05071,county,35.0,0.7189779784018072
05075,county,11.0,0.17685329361309873
05077,county,48.0,0.6161627238941393
05079,county,52.0,0.3831642116594892
05081,state,67,0.5459855502222187
05083,county,59.0,0.37308998503597385
05085,county,56.0,0.1429544805528965
05087,county,32.0,0.47093642411747655
05089,county,74.0,0.0
05091,county,18.0,0.3226708993224923
