Location,FIPS,Diabetes_Prevalence_Both_Sexes
Autauga County,1001,15.45
Baldwin County,1003,13.44
Barbour County,1005,19.36
Bibb County,1007,16.68
Blount County,1009,15.06
Bullock County,1011,23.33
Butler County,1013,18.87
Calhoun County,1015,16.51
Chambers County,1017,18.45
Cherokee County,1019,15.27
Chilton County,1021,15.56
Choctaw County,1023,19.38
Clarke County,1025,18.72
Clay County,1027,15.75
Cleburne County,1029,15.11
Coffee County,1031,15.64
Colbert County,1033,16.54
Conecuh County,1035,19.9
Coosa County,1037,17.71
Covington County,1039,15.23
Crenshaw County,1041,17.27
Cullman County,1043,15.03
Dale County,1045,16.78
Dallas County,1047,21.94
DeKalb County,1049,16.01
Elmore County,1051,15.67
Escambia County,1053,17.65
Etowah County,1055,16.24
Fayette County,1057,16.35
Franklin County,1059,16.23
Geneva County,1061,15.88
Greene County,1063,23.7
Hale County,1065,20.44
Henry County,1067,16.77
Houston County,1069,15.61
Jackson County,1071,15.3
Jefferson County,1073,16.1
Lamar County,1075,16.31
Lauderdale County,1077,15.19
Lawrence County,1079,17.25
Lee County,1081,15.98
Limestone County,1083,15.56
Lowndes County,1085,22.47
Macon County,1087,22.98
Madison County,1089,14.57
Marengo County,1091,19.43
Marion County,1093,15.52
Marshall County,1095,16.08
Mobile County,1097,17.05
Monroe County,1099,18.04
Montgomery County,1101,17.94
Morgan County,1103,15.97
Perry County,1105,23.4
Pickens County,1107,19.11
Pike County,1109,17.83
Randolph County,1111,16.49
Russell County,1113,19.44
Saint Clair County,1115,14.93
Shelby County,1117,12.26
Sumter County,1119,24.33
Talladega County,1121,17.15
Tallapoosa County,1123,16.41
Tuscaloosa County,1125,16.04
Walker County,1127,15.71
Washington County,1129,17.87
Wilcox County,1131,23.12
Winston County,1133,15.95
Aleutians East Borough,2013,15.63
Aleutians West Census Area,2016,15.63
Anchorage Municipality,2020,12.22
Bethel Census Area,2050,17.93
Bristol Bay Borough,2060,13.69
Denali Borough,2068,14.48
Dillingham Census Area,2070,16.28
Fairbanks North Star Borough,2090,10.42
Haines Borough,2100,9.72
Hoonah-Angoon Census Area,2105,11.81
Juneau City and Borough,2110,10.23
Kenai Peninsula Borough,2122,10.53
Ketchikan Gateway Borough,2130,11.77
Kodiak Island Borough,2150,12.01
Kusilvak Census Area,2158,18.54
Lake and Peninsula Borough,2164,16.28
Matanuska-Susitna Borough,2170,11.4
Nome Census Area,2180,15.88
North Slope Borough,2185,15.74
Northwest Arctic Borough,2188,16.66
Petersburg Borough,2195,11.77
Prince of Wales-Hyder Census Area,2198,11.77
Sitka City and Borough,2220,10.81
Skagway Municipality,2230,11.81
Southeast Fairbanks Census Area,2240,11.35
Valdez-Cordova Census Area,2261,11.09
Wrangell City and Borough,2275,11.77
Yakutat City and Borough,2282,11.81
Yukon-Koyukuk Census Area,2290,14.48
Apache County,4001,20.84
Cochise County,4003,13.87
Coconino County,4005,13.86
Gila County,4007,14.55
Graham County,4009,15.74
Greenlee County,4011,15.23
La Paz County,4012,16.67
Maricopa County,4013,13.38
Mohave County,4015,13.57
Navajo County,4017,16.95
Pima County,4019,12.98
Pinal County,4021,15.76
Santa Cruz County,4023,16.42
Yavapai County,4025,12.08
Yuma County,4027,16.67
Arkansas County,5001,16.21
Ashley County,5003,16.26
Baxter County,5005,12.93
Benton County,5007,14.17
Boone County,5009,13.7
Bradley County,5011,17.19
Calhoun County,5013,16.14
Carroll County,5015,14.28
Chicot County,5017,20.22
Clark County,5019,16.06
Clay County,5021,14.88
Cleburne County,5023,14.12
Cleveland County,5025,14.74
Columbia County,5027,16.48
Conway County,5029,15.36
Craighead County,5031,14.2
Crawford County,5033,15.13
Crittenden County,5035,19.92
Cross County,5037,16.6
Dallas County,5039,17.84
Desha County,5041,18.97
