FIPS,tubercolosis_mortality,AIDS_mortality,diarrheal_mortality,lower_respiratory_mortality,meningitis_mortality,hepatitis_mortality
1001,0.31,2.0,1.89,34.15,0.51,0.2
1003,0.2,1.81,1.44,21.82,0.41,0.21
1005,0.42,4.03,2.02,33.95,0.64,0.2
1007,0.26,1.24,2.71,41.3,0.61,0.2
1009,0.26,1.05,3.56,54.02,0.46,0.21
1011,0.58,3.87,2.38,30.74,0.88,0.22
1013,0.42,3.26,1.91,36.84,0.66,0.23
1015,0.37,1.73,3.4,61.55,0.63,0.25
1017,0.35,3.5,1.63,31.09,0.61,0.19
1019,0.24,0.96,2.47,44.22,0.47,0.19
1021,0.19,1.13,2.19,44.68,0.55,0.23
1023,0.29,2.16,1.45,29.41,0.58,0.16
1025,0.29,2.09,1.5,27.31,0.59,0.2
1027,0.24,1.12,2.46,46.05,0.57,0.18
1029,0.18,0.98,2.32,46.73,0.48,0.17
1031,0.23,1.73,1.52,29.08,0.5,0.2
1033,0.27,1.16,2.44,37.49,0.52,0.16
1035,0.56,3.57,2.08,32.16,0.69,0.27
1037,0.25,1.64,2.99,33.6,0.67,0.23
1039,0.26,2.0,1.78,48.57,0.52,0.27
1041,0.33,2.95,1.99,46.19,0.58,0.21
1043,0.21,1.03,2.44,33.16,0.46,0.21
1045,0.27,2.03,1.85,26.2,0.47,0.23
1047,0.68,4.7,2.81,49.67,1.0,0.23
1049,0.29,0.87,2.53,34.55,0.45,0.19
1051,0.31,2.04,2.56,33.24,0.49,0.18
1053,0.43,2.75,2.22,32.49,0.59,0.26
1055,0.29,1.41,3.35,56.2,0.58,0.22
1057,0.27,1.33,1.9,47.93,0.51,0.17
1059,0.3,1.13,2.51,43.79,0.52,0.18
1061,0.22,1.63,1.37,24.28,0.45,0.21
1063,0.49,3.34,2.0,42.98,0.92,0.19
1065,0.31,2.14,2.07,42.37,0.8,0.19
1067,0.29,3.14,1.46,24.05,0.49,0.15
1069,0.3,3.1,1.57,21.96,0.55,0.24
1071,0.24,0.91,2.28,34.96,0.49,0.2
1073,0.48,3.83,3.53,39.55,0.74,0.34
1075,0.23,1.33,1.41,44.74,0.48,0.17
1077,0.25,1.03,2.46,33.02,0.48,0.21
1079,0.25,0.87,2.17,35.66,0.51,0.15
1081,0.37,2.7,1.76,34.98,0.52,0.18
1083,0.35,2.12,2.63,27.44,0.49,0.17
1085,0.55,5.05,2.37,31.34,0.88,0.22
1087,0.54,5.05,2.53,37.59,0.91,0.21
1089,0.41,1.38,2.17,31.13,0.54,0.15
1091,0.26,1.8,1.56,35.22,0.69,0.17
1093,0.24,1.03,1.81,40.09,0.44,0.16
1095,0.28,0.99,2.83,39.64,0.51,0.18
1097,0.38,5.7,1.63,36.03,0.59,0.44
1099,0.28,2.14,1.56,37.04,0.59,0.2
1101,0.69,6.14,2.55,31.92,0.78,0.26
1103,0.26,1.04,2.27,33.36,0.48,0.17
1105,0.4,2.15,2.6,36.0,0.87,0.19
1107,0.39,1.93,1.67,57.1,0.64,0.16
1109,0.4,4.09,2.07,38.91,0.65,0.24
1111,0.22,1.68,2.27,40.05,0.56,0.18
1113,0.45,4.01,1.83,41.61,0.63,0.19
1115,0.26,1.1,3.11,45.46,0.48,0.24
1117,0.22,0.9,2.78,31.1,0.43,0.19
1119,0.51,3.71,1.81,42.33,0.89,0.18
1121,0.34,2.08,3.04,48.46,0.71,0.21
1123,0.29,2.15,2.41,44.48,0.58,0.18
1125,0.42,1.77,1.64,49.87,0.57,0.18
1127,0.28,1.37,3.17,54.55,0.54,0.26
1129,0.26,2.0,1.67,28.12,0.54,0.18
1131,0.46,3.25,1.95,32.19,0.89,0.24
1133,0.26,1.12,2.19,39.96,0.47,0.18
2013,0.73,0.24,1.64,14.02,0.41,0.11
2016,0.73,0.24,1.64,14.02,0.41,0.11
2020,0.56,1.07,1.32,17.13,0.43,0.39
2050,2.24,0.81,2.28,38.14,0.83,0.21
2060,0.6,0.94,1.36,14.38,0.44,0.14
2068,0.64,0.51,1.55,27.75,0.55,0.13
2070,1.03,0.56,1.98,26.36,0.64,0.14
2090,0.37,0.6,1.55,18.13,0.37,0.18
2100,0.25,0.33,0.69,9.75,0.26,0.14
2105,0.42,0.37,0.96,13.71,0.39,0.16
2110,0.53,0.6,0.9,14.42,0.31,0.16
2122,0.24,0.52,1.31,14.82,0.36,0.23
2130,0.44,0.47,1.08,17.82,0.39,0.24
2150,0.37,0.43,1.47,21.3,0.42,0.16
2158,2.87,1.52,2.7,59.04,1.08,0.26
2164,1.03,0.56,1.98,26.36,0.64,0.14
2170,0.25,0.45,1.14,14.19,0.36,0.33
2180,1.57,0.84,2.35,30.01,0.88,0.17
2185,0.66,0.69,1.91,25.55,0.62,0.13
2188,1.29,0.91,2.71,38.17,0.84,0.15
2195,0.44,0.47,1.08,17.82,0.39,0.24
2198,0.44,0.47,1.08,17.82,0.39,0.24
2220,0.76,0.46,0.9,14.37,0.34,0.2
2230,0.42,0.37,0.96,13.71,0.39,0.16
2240,0.21,0.31,1.11,16.38,0.35,0.17
2261,0.21,0.25,1.01,15.88,0.36,0.15
2275,0.44,0.47,1.08,17.82,0.39,0.24
2282,0.42,0.37,0.96,13.71,0.39,0.16
2290,0.64,0.51,1.55,27.75,0.55,0.13
4001,0.89,1.36,3.91,52.92,0.95,0.25
4003,0.16,0.66,3.17,27.4,0.46,0.27
4005,0.35,0.77,2.23,27.05,0.51,0.25
4007,0.28,1.09,2.39,20.59,0.59,0.41
4009,0.21,0.79,3.08,28.76,0.55,0.29
4011,0.17,0.67,2.52,21.06,0.41,0.24
4012,0.31,1.05,2.1,26.54,0.41,0.31
4013,0.26,1.72,2.36,14.61,0.41,0.33
4015,0.22,1.77,1.97,26.85,0.47,0.41
4017,0.38,1.07,3.15,35.14,0.77,0.38
4019,0.25,1.68,3.27,18.86,0.43,0.3
4021,0.23,1.28,2.06,14.2,0.5,0.48
4023,0.21,0.56,2.86,17.47,0.38,0.27
4025,0.16,0.85,3.06,23.39,0.4,0.39
4027,0.31,1.05,2.1,26.54,0.41,0.31
5001,0.23,1.29,1.48,41.39,0.52,0.24
5003,0.28,1.81,1.69,37.98,0.55,0.22
5005,0.14,0.7,2.42,32.56,0.42,0.23
5007,0.18,0.69,1.99,22.53,0.4,0.3
5009,0.14,0.65,2.12,32.64,0.42,0.19
5011,0.36,2.02,1.87,52.92,0.61,0.21
5013,0.28,1.43,1.76,32.91,0.51,0.2
5015,0.18,0.87,2.19,30.84,0.42,0.24
5017,0.44,3.07,1.97,43.1,0.71,0.21
5019,0.32,1.41,2.72,39.98,0.56,0.27
5021,0.15,0.59,2.41,49.06,0.46,0.27
5023,0.18,0.8,1.96,30.57,0.41,0.24
5025,0.15,0.73,1.51,32.59,0.43,0.16
5027,0.43,2.68,2.09,46.5,0.67,0.28
5029,0.26,1.12,1.9,41.42,0.46,0.24
5031,0.26,1.48,1.94,45.1,0.46,0.22
5033,0.16,0.84,2.2,34.22,0.47,0.31
5035,0.6,7.27,2.37,45.61,0.72,0.34
5037,0.3,1.64,2.22,53.41,0.61,0.29
5039,0.44,2.11,2.21,44.88,0.64,0.25
5041,0.35,2.02,1.78,38.62,0.64,0.19
5043,0.31,1.48,1.72,41.1,0.56,0.19
5045,0.24,1.06,1.93,40.75,0.45,0.3
5047,0.18,0.77,1.99,39.06,0.43,0.34
5049,0.13,0.58,2.39,27.72,0.44,0.22
5051,0.37,1.96,1.94,42.22,0.5,0.29
5053,0.18,0.87,1.69,44.45,0.43,0.24
5055,0.21,0.86,1.99,50.24,0.45,0.29
5057,0.31,1.46,2.28,34.96,0.59,0.28
5059,0.26,1.34,2.15,35.25,0.48,0.24
5061,0.31,1.03,2.21,41.45,0.57,0.26
5063,0.22,1.0,2.01,70.01,0.45,0.24
5065,0.2,0.81,2.19,50.16,0.47,0.23
5067,0.3,1.39,2.41,44.72,0.55,0.26
5069,0.54,3.26,2.14,45.01,0.81,0.32
5071,0.23,1.05,2.26,42.41,0.54,0.37
5073,0.28,1.56,2.14,41.92,0.68,0.27
5075,0.18,0.87,2.35,60.21,0.47,0.24
5077,0.59,4.36,2.27,42.77,0.73,0.28
5079,0.25,0.96,1.54,41.78,0.55,0.19
5081,0.28,1.34,2.69,40.89,0.53,0.25
5083,0.32,1.16,1.88,31.21,0.45,0.32
5085,0.22,1.05,1.78,40.52,0.41,0.21
5087,0.15,0.57,2.04,34.25,0.45,0.26
5089,0.12,0.53,2.24,30.07,0.43,0.23
5091,0.35,2.36,2.02,31.69,0.54,0.33
5093,0.47,2.86,2.48,56.09,0.63,0.34
5095,0.34,2.4,1.97,46.53,0.63,0.3
5097,0.18,0.66,1.85,38.86,0.44,0.22
5099,0.29,1.26,2.21,44.18,0.6,0.25
5101,0.18,0.81,1.98,33.52,0.44,0.19
5103,0.53,2.67,2.33,49.84,0.7,0.27
5105,0.23,0.94,1.65,63.25,0.44,0.22
5107,0.42,3.63,2.0,40.11,0.76,0.3
5109,0.18,0.7,1.92,41.44,0.48,0.26
5111,0.26,1.39,1.99,57.58,0.51,0.26
5113,0.21,0.87,1.85,36.22,0.48,0.29
5115,0.3,0.87,1.84,37.0,0.45,0.28
5117,0.19,1.27,1.74,42.06,0.5,0.32
5119,0.63,3.7,2.14,36.84,0.65,0.33
5121,0.16,0.64,2.34,52.27,0.44,0.22
5123,0.56,4.46,2.24,43.06,0.72,0.37
5125,0.26,1.26,1.54,38.12,0.45,0.28
5127,0.25,0.89,1.92,46.56,0.47,0.26
5129,0.17,0.71,2.2,39.59,0.45,0.2
5131,0.34,1.74,1.99,35.68,0.55,0.34
5133,0.31,0.83,2.33,54.85,0.53,0.3
5135,0.18,0.89,2.54,50.91,0.55,0.32
5137,0.16,0.64,2.16,42.3,0.45,0.22
5139,0.54,5.33,2.62,46.56,0.71,0.29
5141,0.17,0.76,2.0,29.95,0.46,0.3
5143,0.24,0.82,1.58,24.81,0.45,0.47
5145,0.18,0.9,1.59,39.07,0.45,0.39
5147,0.35,1.97,1.99,53.6,0.58,0.3
5149,0.3,1.05,1.8,38.52,0.47,0.27
6001,0.41,2.45,2.48,19.54,0.3,0.47
6003,0.16,0.52,2.53,22.68,0.34,0.28
6005,0.14,0.93,2.55,26.87,0.32,0.49
6007,0.23,1.24,3.52,23.65,0.42,0.71
6009,0.11,0.84,3.19,21.72,0.31,0.51
6011,0.21,0.65,2.56,21.11,0.33,0.54
6013,0.26,1.38,2.37,16.13,0.3,0.4
6015,0.28,0.81,2.06,35.23,0.44,0.94
6017,0.15,0.76,3.4,19.05,0.32,0.41
6019,0.55,2.43,3.03,30.81,0.45,0.78
6021,0.24,0.87,2.56,25.16,0.39,0.58
6023,0.31,1.56,2.19,20.03,0.45,0.77
6025,0.8,1.56,1.84,21.4,0.39,0.68
6027,0.16,0.65,1.86,24.1,0.35,0.34
6029,0.36,1.36,1.98,27.47,0.39,0.54
6031,0.3,1.18,1.94,25.03,0.41,0.92
6033,0.22,2.06,2.15,26.68,0.37,0.92
6035,0.17,0.53,2.37,28.66,0.4,0.52
6037,0.4,2.98,1.39,23.56,0.26,0.44
6039,0.32,1.51,2.66,21.15,0.42,0.81
6041,0.19,1.17,1.75,16.61,0.22,0.33
6043,0.12,0.57,2.14,18.31,0.27,0.48
6045,0.24,1.43,1.78,20.59,0.41,0.57
6047,0.47,1.4,3.19,25.6,0.41,0.76
6049,0.15,0.52,2.23,33.58,0.4,0.45
6051,0.14,0.5,1.91,19.1,0.31,0.29
6053,0.27,1.2,1.78,18.17,0.33,0.51
6055,0.19,0.95,1.93,25.51,0.28,0.46
6057,0.12,0.76,1.95,17.05,0.3,0.46
6059,0.24,1.04,1.67,19.0,0.24,0.37
6061,0.17,0.58,3.56,16.81,0.3,0.34
6063,0.16,0.59,2.54,26.42,0.36,0.43
6065,0.23,2.24,2.29,13.87,0.32,0.39
6067,0.37,2.09,4.16,25.13,0.43,0.77
6069,0.21,0.59,1.8,26.65,0.25,0.36
6071,0.33,1.91,2.61,21.25,0.36,0.55
6073,0.3,1.89,2.48,14.45,0.27,0.47
