FIPS,life_expectancy,mortality_risk_0-5,mortality_risk_5-25,mortality_risk_25-45,mortality_risk_45-65,mortality_risk_65-85
1001,75.67,0.87,1.2,3.55,15.66,58.37
1003,78.08,0.75,1.03,3.23,12.32,50.49
1005,75.42,1.01,1.31,4.01,16.25,56.25
1007,73.97,1.07,1.5,4.5,18.12,61.11
1009,76.16,0.75,1.17,3.56,14.62,57.86
1011,73.86,1.25,1.49,4.81,19.24,56.83
1013,73.39,1.2,1.66,5.11,19.14,59.32
1015,74.02,0.96,1.1,4.33,18.59,62.4
1017,74.06,1.06,1.33,4.58,18.12,60.67
1019,75.08,0.9,1.28,4.05,16.67,58.92
1021,74.53,0.97,1.37,4.22,17.66,59.63
1023,75.29,1.07,1.5,4.39,16.33,54.41
1025,75.46,1.03,1.47,4.31,15.67,55.72
1027,75.06,1.05,1.35,4.08,16.7,57.3
1029,74.3,0.94,1.36,4.2,18.15,60.76
1031,76.48,0.9,1.13,3.47,14.3,55.82
1033,75.07,0.89,1.27,4.09,16.67,58.77
1035,74.05,1.28,1.54,5.17,17.86,56.8
1037,75.19,1.05,1.31,4.32,16.56,56.1
1039,75.15,0.9,1.24,4.03,16.92,57.91
1041,74.07,1.08,1.44,4.57,18.01,60.8
1043,75.31,0.81,1.22,3.74,16.11,59.93
1045,76.26,0.78,0.96,3.35,15.88,56.12
1047,72.39,1.21,1.52,5.46,21.03,63.14
1049,75.25,0.81,1.16,3.82,16.21,60.11
1051,75.93,0.89,1.14,3.43,15.04,58.3
1053,74.15,0.99,1.32,4.48,18.31,60.34
1055,73.85,0.96,1.25,4.48,18.51,62.72
1057,73.98,1.08,1.36,4.41,18.02,60.99
1059,73.31,1.08,1.47,4.57,18.99,64.07
1061,75.54,0.9,1.24,3.77,15.71,57.94
1063,74.05,1.34,1.75,5.03,18.17,55.61
1065,74.01,1.17,1.5,4.72,18.7,58.34
1067,75.97,0.9,1.26,3.95,15.55,54.66
1069,76.81,0.84,1.02,3.29,14.28,54.59
1071,74.13,0.93,1.36,4.21,17.4,63.31
1073,75.34,0.99,1.15,4.2,16.46,56.56
1075,74.83,1.03,1.28,4.08,17.09,58.69
1077,76.5,0.75,0.99,3.57,14.72,55.85
1079,74.33,0.92,1.38,4.36,17.15,62.41
1081,76.52,0.81,0.65,3.17,14.96,57.3
1083,77.21,0.66,0.96,3.14,13.54,55.04
1085,72.57,1.42,1.9,5.9,19.8,59.82
1087,72.81,1.36,1.38,5.99,20.84,57.88
1089,78.07,0.68,0.84,2.78,12.64,52.45
1091,74.68,1.18,1.46,4.34,16.79,57.97
1093,74.54,1.05,1.41,4.33,17.02,59.41
1095,74.53,0.95,1.32,4.25,17.12,60.63
1097,75.13,0.95,1.19,4.36,16.65,57.61
1099,74.97,1.09,1.42,4.45,16.58,56.87
1101,75.83,1.02,1.08,3.79,15.49,56.31
1103,76.21,0.79,1.08,3.5,14.86,57.23
1105,72.31,1.35,1.74,5.69,20.42,62.06
1107,74.55,1.17,1.47,4.36,16.54,59.25
1109,74.9,1.07,1.06,4.3,17.15,58.05
1111,74.65,1.08,1.49,4.39,17.2,57.86
1113,74.43,0.93,1.19,4.15,18.34,59.86
1115,74.98,0.83,1.19,3.8,16.87,60.82
1117,79.53,0.56,0.81,2.16,10.4,49.56
1119,74.82,1.35,1.3,4.76,17.25,54.51
1121,74.29,1.04,1.28,4.08,17.88,61.03
