FIPS,Male_Obesity_%,Female_Obesity_%
1001,37.1,38.79
1003,33.47,33.9
1005,41.51,51.62
1007,40.65,45.2
1009,38.37,41.56
1011,41.9,56.05
1013,39.81,50.28
1015,37.96,41.39
1017,40.68,47.68
1019,39.47,41.72
1021,41.84,44.26
1023,41.25,49.86
1025,41.77,46.61
1027,39.22,45.37
1029,37.39,41.26
1031,39.05,39.67
1033,40.23,41.57
1035,40.58,49.47
1037,41.58,48.43
1039,40.9,40.31
1041,40.62,44.82
1043,37.36,40.48
1045,39.08,44.13
1047,39.99,56.22
1049,38.87,40.95
1051,36.9,39.31
1053,41.63,44.11
1055,38.11,39.55
1057,42.35,43.86
1059,38.4,39.11
1061,41.36,43.16
1063,43.82,58.03
1065,43.5,55.48
1067,40.8,47.44
1069,39.51,41.2
1071,37.78,39.83
1073,33.49,43.76
1075,40.3,38.32
1077,34.95,38.85
1079,40.55,46.07
1081,36.31,39.49
1083,39.07,40.91
1085,41.56,55.29
1087,39.87,53.85
1089,33.98,38.01
1091,41.86,50.59
1093,38.89,39.15
1095,37.24,38.74
1097,38.07,42.05
1099,38.97,49.73
1101,36.58,45.12
1103,38.34,40.37
1105,42.66,57.36
1107,41.8,48.27
1109,39.03,46.49
1111,40.24,43.97
1113,41.32,48.28
1115,37.66,42.86
1117,37.17,32.38
1119,41.05,54.78
1121,39.97,48.7
1123,37.54,45.24
1125,37.18,43.03
1127,39.02,42.46
1129,40.58,46.19
1131,41.9,57.84
1133,38.5,41.95
2013,29.72,37.76
2016,30.7,36.23
2020,31.84,36.67
2050,36.08,51.22
2060,36.94,41.95
2070,36.02,48.85
2090,35.43,33.28
2100,35.59,38.27
2232,38.82,41.72
2232,38.82,41.72
2110,32.78,36.55
2122,35.49,39.26
2280,37.1,39.03
2280,37.1,39.03
2280,37.1,39.03
2280,37.1,39.03
2150,32.95,35.79
2164,40.21,52.03
2170,34.72,37.77
2180,33.33,46.27
2185,37.37,43.81
2188,37.21,51.25
2280,37.1,39.03
2280,37.1,39.03
2280,37.1,39.03
2280,37.1,39.03
2280,37.1,39.03
2280,37.1,39.03
2280,37.1,39.03
2280,37.1,39.03
2220,35.16,32.53
2232,38.82,41.72
2232,38.82,41.72
2240,36.75,37.07
2261,35.08,38.38
2270,38.3,55.51
2280,37.1,39.03
2280,37.1,39.03
2280,37.1,39.03
2280,37.1,39.03
2282,36.79,39.91
2911,38.97,41.88
2911,38.97,41.88
4001,36.44,49.35
4003,31.04,36.13
4005,26.68,32.88
4007,35.59,38.1
4009,38.59,42.58
4011,35.97,39.23
4012,41.24,41.53
4013,31.59,32.59
4015,35.17,33.58
4017,35.41,42.58
4019,31.36,33.44
4021,39.6,40.35
4023,32.25,37.0
4025,29.68,29.22
4027,39.04,41.39
5001,40.0,44.9
5003,38.84,45.48
5005,34.73,34.04
5007,35.82,34.02
5009,34.49,33.15
5011,38.92,46.68
5013,39.29,44.74
5015,36.01,33.62
5017,41.79,52.36
5019,38.76,40.05
5021,42.02,42.39
5023,37.59,36.17
5025,38.35,40.58
5027,38.98,43.48
5029,38.88,39.84
5031,37.41,37.57
5033,37.45,38.51
5035,38.19,50.18
5037,40.22,44.56
5039,40.61,47.14
5041,40.23,48.57
5043,37.8,42.99
5045,37.25,34.22
5047,35.73,36.87
5049,38.45,36.75
5051,35.4,35.28
5053,38.27,40.13
5055,41.49,38.5
5057,41.84,43.65
5059,38.54,40.82
5061,41.47,43.66
5063,36.85,37.19
5065,37.81,35.05
5067,41.72,45.64
5069,38.98,49.39
5071,39.57,39.41
5073,42.63,45.78
5075,43.18,40.4
5077,42.44,56.12
5079,42.7,47.14
5081,40.92,41.61
5083,37.96,38.29
5085,39.98,37.84
5087,38.13,38.92
5089,38.53,36.57
5091,40.34,44.04
5093,41.25,48.28
5095,41.74,51.48
5097,38.77,37.84
5099,42.91,44.26
5101,38.07,38.38
5103,39.82,47.53
5105,39.03,37.08
5107,40.29,53.78
5109,40.62,37.29
5111,42.38,46.08
5113,38.49,39.4
5115,37.05,38.34
5117,40.75,43.59
5119,34.31,37.88
5121,41.95,37.04
5123,40.85,52.14
5125,34.98,38.46
5127,37.42,39.3
5129,38.69,42.27
5131,33.25,34.44
5133,40.74,46.35
5135,40.0,34.87
5137,36.92,38.37
5139,35.58,44.0
5141,36.46,39.3
5143,34.29,34.98
5145,37.87,39.6
5147,42.08,49.1
5149,39.98,40.36
6001,24.05,30.57
6003,32.07,33.97
6005,34.03,35.1
6007,31.58,34.29
6009,34.42,34.78
6011,37.27,39.69
6013,31.79,30.8
6015,37.01,40.23
6017,27.05,27.46
6019,38.3,41.91
6021,35.75,38.79
6023,31.77,34.82
6025,36.99,42.9
6027,34.55,34.83
6029,37.07,41.04
6031,37.39,41.63
6033,33.27,37.49
6035,34.71,35.26
6037,27.12,33.72
6039,39.16,42.29
6041,22.94,21.08
6043,36.26,35.36
6045,31.27,33.43
6047,41.81,45.43
6049,34.6,36.07
6051,33.86,31.73
6053,33.9,34.39
6055,31.52,32.93
6057,28.03,27.32
6059,27.04,27.68
6061,28.01,26.0
6063,32.2,32.52
6065,35.21,36.01
6067,32.24,36.72
6069,36.16,38.23
6071,33.58,38.82
6073,29.61,30.62
6075,18.35,20.87
6077,35.5,40.2
6079,29.89,29.32
6081,22.79,25.47
6083,30.12,29.76
6085,23.92,27.96
6087,28.82,29.03
6089,33.71,34.42
6091,32.51,32.35
