FIPS,other_resp_mortality,interstitial_lung_mortality,asthma_mortality,other_pneumoconiosis_mortality,coal_pneumoconiosis_mortality,asbestosis_mortality,silicosis_mortality,pneumoconiosis_mortality,COPD_mortality,chronic_respiratory_mortality
1001,0.99,5.72,1.07,0.37,0.08,0.15,0.01,0.61,73.41,81.79
1003,0.93,6.34,0.94,0.25,0.03,0.52,0.02,0.81,45.27,54.28
1005,1.14,6.47,1.63,0.37,0.03,0.1,0.02,0.51,60.07,69.82
1007,1.24,5.55,1.31,0.5,0.32,0.47,0.04,1.32,75.08,84.49
1009,1.14,5.26,1.09,0.46,0.18,0.56,0.05,1.25,78.32,87.05
1011,1.43,5.58,2.05,0.47,0.03,0.08,0.02,0.59,41.85,51.49
1013,1.27,5.4,1.74,0.43,0.05,0.28,0.03,0.79,65.89,75.09
1015,1.12,5.4,1.14,0.48,0.04,0.27,0.02,0.8,78.86,87.32
1017,1.28,6.19,1.42,0.45,0.02,0.16,0.01,0.63,74.48,84.0
1019,1.14,5.57,1.01,0.41,0.03,0.15,0.01,0.6,84.73,93.04
1021,1.05,4.85,0.97,0.43,0.13,0.56,0.04,1.15,80.01,88.02
1023,1.28,5.59,1.46,0.44,0.03,0.45,0.02,0.94,50.92,60.19
1025,1.15,6.19,1.45,0.41,0.03,0.82,0.02,1.29,59.21,69.3
1027,1.13,5.53,1.09,0.46,0.04,0.15,0.03,0.67,67.87,76.28
1029,1.07,4.86,1.05,0.46,0.04,0.18,0.03,0.71,85.14,92.84
1031,1.04,6.8,1.5,0.37,0.02,0.11,0.01,0.51,69.57,79.42
1033,1.15,5.6,1.38,0.34,0.03,0.6,0.01,0.99,71.32,80.43
1035,1.28,5.46,1.34,0.35,0.1,0.28,0.02,0.74,67.58,76.4
1037,1.19,5.39,1.24,0.5,0.08,0.27,0.1,0.95,69.9,78.67
1039,1.0,5.77,1.02,0.32,0.08,0.29,0.01,0.7,65.98,74.47
1041,1.2,5.67,1.76,0.44,0.05,0.2,0.02,0.71,98.58,107.91
1043,1.29,5.27,0.82,0.44,0.1,0.25,0.01,0.81,81.58,89.78
1045,0.98,6.43,1.54,0.3,0.05,0.2,0.03,0.59,75.32,84.85
1047,1.36,6.62,2.47,0.49,0.02,0.14,0.01,0.67,54.46,65.59
1049,1.35,5.2,0.96,0.4,0.05,0.23,0.01,0.7,93.61,101.83
1051,1.0,5.67,1.01,0.37,0.07,0.23,0.02,0.68,82.9,91.25
1053,1.08,7.04,1.22,0.28,0.04,0.62,0.02,0.95,57.34,67.63
1055,1.24,5.37,1.3,0.49,0.06,0.54,0.02,1.09,88.44,97.44
1057,1.38,8.38,1.26,0.51,0.13,0.43,0.05,1.13,73.92,86.07
1059,1.22,4.84,0.98,0.39,0.06,0.32,0.01,0.78,96.5,104.32
1061,1.02,7.58,1.32,0.3,0.11,0.39,0.02,0.82,68.06,78.8
1063,1.68,6.81,2.83,0.58,0.03,0.21,0.03,0.86,45.2,57.38
1065,1.45,6.33,1.98,0.54,0.04,0.26,0.02,0.86,50.51,61.15
1067,1.01,7.93,1.8,0.35,0.05,0.17,0.02,0.58,59.73,71.04
1069,0.93,8.56,1.81,0.3,0.04,0.17,0.01,0.52,55.09,66.9
1071,1.31,5.12,1.3,0.4,0.1,0.22,0.02,0.74,86.22,94.69
1073,1.35,6.92,1.68,0.39,0.11,0.31,0.04,0.85,48.44,59.24
1075,1.28,5.04,1.25,0.48,0.09,0.33,0.03,0.93,80.67,89.17
1077,1.04,7.2,1.16,0.3,0.03,0.55,0.01,0.88,65.65,75.94
1079,1.29,5.49,1.2,0.44,0.03,0.24,0.01,0.72,83.66,92.36
1081,1.02,5.9,1.15,0.37,0.02,0.11,0.01,0.51,65.86,74.45
1083,0.89,5.79,1.07,0.31,0.03,0.26,0.01,0.61,56.56,64.91
1085,1.6,6.67,2.53,0.57,0.03,0.14,0.02,0.76,44.33,55.88
1087,1.47,5.26,2.07,0.44,0.02,0.11,0.02,0.58,35.97,45.36
1089,0.95,6.18,1.17,0.33,0.02,0.09,0.01,0.44,53.14,61.87
1091,1.3,5.89,1.63,0.45,0.03,0.27,0.02,0.77,52.67,62.26
1093,1.24,5.08,1.18,0.5,0.14,0.37,0.02,1.03,79.24,87.77
1095,1.3,5.11,1.07,0.43,0.05,0.18,0.01,0.68,97.47,105.63
1097,1.02,7.39,1.44,0.29,0.03,0.82,0.02,1.16,54.82,65.83
1099,1.08,6.3,1.26,0.36,0.03,0.28,0.02,0.69,55.39,64.72
1101,1.17,6.7,1.97,0.36,0.04,0.09,0.01,0.51,57.69,68.04
1103,1.13,4.86,0.86,0.4,0.09,0.16,0.02,0.67,69.29,76.82
1105,1.6,6.03,2.39,0.61,0.09,0.22,0.03,0.95,56.22,67.18
1107,1.47,6.03,1.44,0.51,0.04,0.23,0.03,0.8,54.2,63.94
1109,1.26,6.58,1.81,0.41,0.03,0.12,0.02,0.58,62.54,72.77
1111,1.12,4.74,1.24,0.45,0.03,0.15,0.02,0.63,65.56,73.3
1113,1.1,5.95,1.42,0.37,0.02,0.12,0.01,0.52,71.37,80.35
1115,1.1,5.11,1.17,0.45,0.17,0.69,0.04,1.34,82.78,91.5
1117,0.74,5.44,0.76,0.38,0.19,0.39,0.02,0.99,45.7,53.63
1119,1.44,5.27,2.2,0.54,0.02,0.19,0.02,0.77,41.81,51.49
