FIPS,smoking_prevalence
01001,25.1
01003,20.9
01005,26.25
01007,29.41
01009,27.17
01011,26.84
01013,28.14
01015,26.42
01017,28.18
01019,25.76
01021,27.62
01023,24.66
01025,24.2
01027,28.87
01029,28.52
01031,23.26
01033,25.16
01035,27.43
01037,29.65
01039,28.47
01041,27.32
01043,26.8
01045,23.49
01047,26.39
01049,27.46
01051,26.15
01053,27.42
01055,27.76
01057,27.04
01059,25.28
01061,27.21
01063,25.99
01065,26.06
01067,23.39
01069,24.85
01071,28.09
01073,22.06
01075,26.07
01077,23.14
01079,26.98
01081,20.66
01083,23.59
01085,25.5
01087,24.63
01089,19.97
01091,21.48
01093,26.78
01095,27.46
01097,25.03
01099,26.29
01101,21.57
01103,25.79
01105,25.76
01107,26.69
01109,22.17
01111,28.51
01113,26.83
01115,25.74
01117,17.69
01119,24.19
01121,26.41
01123,26.83
01125,22.4
01127,28.7
01129,25.16
01131,25.72
01133,28.17
02016,24.63
02016,26.25
02020,19.14
02050,33.11
02060,27.69
02068,31.85
02070,31.35
02090,20.73
02100,18.13
02110,18.76
02122,23.09
02150,22.44
02164,30.07
02170,23.23
02180,36.89
02185,35.39
02188,41.18
02220,18.82
02105,21.74
02240,22.56
02261,22.11
NA,38.62
02130,22.69
04001,26.8
04003,20.99
04005,21.54
04007,26.69
04009,22.29
04011,20.67
04012,26.75
04013,19.71
04015,29.22
04017,24.48
04019,19.53
04021,23.56
04023,17.71
04025,23.69
04027,19.08
05001,27.6
05003,26.61
05005,27.4
05007,20.88
05009,26.57
05011,27.22
05013,29.84
05015,24.58
05017,26.63
05019,23.96
05021,30.33
05023,26.25
05025,26.75
05027,24.82
05029,27.09
05031,24.58
05033,29.17
05035,27.03
05037,28.22
05039,30.02
05041,27.6
05043,24.34
05045,22.76
05047,28.45
05049,27.6
05051,28.09
05053,27.46
05055,28.94
05057,24.98
05059,30.36
05061,27.7
05063,26.72
05065,27.83
05067,31.6
05069,27.1
05071,25.4
05073,27.19
05075,29.49
05077,30.3
05079,30.6
05081,27.4
05083,28.69
05085,25.34
05087,28.31
05089,28.33
05091,28.29
05093,29.41
05095,27.62
05097,28.13
05099,27.02
05101,25.7
05103,27.08
05105,29.85
05107,28.55
05109,26.77
05111,31.75
05113,28.06
05115,23.92
05117,27.16
05119,23.13
05121,27.76
05123,27.72
05125,26.26
05127,29.32
05129,29.01
05131,27.81
05133,27.28
05135,28.52
05137,28.07
05139,27.09
05141,27.91
05143,22.31
05145,25.8
05147,28.88
05149,27.45
06001,12.93
06003,18.23
06005,22.43
06007,21.01
06009,19.66
06011,19.69
06013,13.92
06015,26.01
06017,16.92
06019,17.28
06021,21.46
06023,22.09
06025,16.22
06027,20.32
06029,17.42
06031,17.37
06033,23.2
06035,24.35
06037,13.37
06039,19.37
06041,12.24
06043,18.9
06045,22.03
06047,18.25
06049,20.94
06051,17.58
06053,15.39
06055,15.36
06057,16.42
06059,11.85
06061,15.01
06063,21.63
06065,17.08
06067,18.26
06081,15.77
06081,17.31
06081,13.65
06081,12.34
06081,18.99
06081,14.03
06081,11.39
06087,13.3
06087,11.25
06087,13.58
06089,22.98
06091,22.29
06093,21.19
06095,16.64
06097,16.52
06099,18.97
06101,19.24
06103,23.92
06105,23.47
06107,16.76
06109,22.31
06111,13.12
06113,13.98
06115,21.46
08003,19.29
08005,17.21
08007,18.97
08009,21.97
08011,27.5
08001,18.68
08015,21.55
08017,20.97
08019,18.78
08021,18.02
08023,20.4
08025,25.92
08027,22.3
08029,24.03
08031,20.39
08033,22.05
08035,11.92
08037,13.7
08039,16.73
08041,18.02
08043,29.09
08045,19.09
08047,20.48
08049,19.89
08051,14.23
08053,14.74
08055,21.06
08057,20.23
08061,19.76
08063,23.79
08065,19.64
08067,16.91
08069,16.25
08071,22.05
08073,23.7
08075,25.28
08077,21.59
08079,15.62
08081,23.03
08083,19.83
08085,21.8
08087,22.95
08089,23.87
08091,15.24
08093,20.05
08095,20.76
08097,13.55
08099,21.55
08101,22.98
08105,18.34
08105,19.34
08107,14.7
08109,21.47
08113,19.82
08113,12.74
08115,22.87
08117,14.36
08119,23.17
08121,21.6
08125,21.13
09001,14.91
09003,17.9
09005,19.21
09007,17.35
09011,19.12
09011,18.83
09013,16.22
09015,21.11
10001,24.44
10003,19.85
10005,24.56
NA,19.63
12001,16.72
12003,28.03
12005,24.22
12007,26.99
12009,23.43
12011,17.68
12013,28.7
12015,24.39
12017,26.54
12019,20.45
12021,19.07
12023,27.9
12027,28.03
12029,29.22
12031,21.79
12033,23.06
12035,24.14
12037,27.43
12039,24.04
12041,26.75
12043,26.92
12045,27.71
12047,29.37
12049,25.26
12051,23.55
12053,26.26
12055,24.99
12057,19.67
12059,27.47
12061,23.57
12063,25.2
12065,23.95
12067,26.06
12069,22.83
12071,21.11
12073,16.16
12075,26.24
12077,27.51
12079,25.86
12081,22.87
12083,24.7
12085,20.98
12086,16.18
12087,20.12
12089,22.85
12091,21.62
12093,28.04
12095,18.68
12097,20.46
12099,18.25
12101,25.23
12103,23.23
12105,23.97
12107,27.17
12111,17.37
12111,24.1
12113,21.89
12115,23.69
12117,18.73
12119,25.71
12121,27.15
12123,27.6
12125,27.98
12127,24.58
12129,25.38
12131,23.28
12133,27.38
13001,25.7
13003,27.07
13005,27.52
13007,26.14
13009,24.18
13011,24.62
13013,23.31
13015,25.82
13017,27.49
13019,28.13
13021,22.81
13023,25.14
13025,30.17
13027,26.07
13029,20.05
13031,20.67
13033,26.73
13035,27.66
13037,25.77
13039,23.07
13043,24.24
13045,24.49
13047,25.06
13049,29.75
13051,21.72
13053,19.16
13055,29.77
13057,18.89
13059,17.59
13061,26.96
13063,22.19
13065,26.46
13067,16.45
13069,26.84
13071,25.84
13073,17.63
13075,27.67
13077,21.51
13079,25.13
13081,27.35
13083,24.46
13085,22.49
13087,24.86
13089,17.57
13091,24.59
13093,27.74
13095,24.16
13097,22.15
13099,26.0
13101,25.25
13103,23.37
13105,26.86
13107,26.37
13109,25.93
13111,26.28
13113,15.75
13115,25.45
13117,15.19
13119,24.88
13121,15.87
13123,26.13
13125,25.9
13127,22.62
13129,26.23
13131,24.57
13133,23.55
13135,16.35
13137,22.6
13139,20.29
13141,27.05
13143,27.58
13145,19.35
13147,23.83
13149,28.74
13151,20.52
13153,20.58
13155,28.19
13157,22.36
13159,24.0
13161,25.07
13163,25.84
13165,26.24
13167,27.16
13169,22.47
13171,26.02
13173,26.35
13175,24.93
13177,24.15
13179,21.85
13181,25.53
13183,24.85
13185,23.29
13187,21.74
13189,25.92
13191,25.89
13193,27.57
13195,26.14
13197,28.8
13199,28.3
13201,24.98
13205,27.03
13207,23.68
13209,23.68
13211,21.49
13213,29.16
13215,23.14
13217,22.81
13219,15.9
13221,23.5
13223,22.24
13225,22.64
13227,23.24
13229,27.05
13231,24.43
13233,26.98
13235,27.83
13237,22.22
13239,28.34
13241,22.33
13243,25.39
13245,23.74
13247,20.26
13249,25.99
13251,26.52
13253,25.12
13255,26.37
13257,24.98
13259,27.62
13261,24.3
13263,25.56
13265,26.37
13267,26.9
13269,26.72
13271,25.59
13273,27.78
13275,24.53
13277,25.34
13279,23.67
13281,22.54
13283,28.14
13285,24.66
13287,27.68
13289,26.37
13291,21.7
13293,28.06
13295,26.96
13297,23.09
13299,26.49
13301,27.45
13303,25.93
13305,27.06
13307,24.43
13309,27.93
13311,21.51
13313,25.08
13315,27.77
13317,27.02
13319,25.29
13321,27.57
15001,19.85
15003,16.1
15007,19.09
15005,16.73
16001,16.62
16003,22.65
16005,21.19
16007,19.12
16009,26.92
16011,19.98
16013,13.91
16015,21.65
16017,22.72
16019,16.1
16021,25.85
16023,21.08
16025,22.42
16027,21.01
16029,20.51
16031,20.44
16033,22.17
16035,26.11
16037,20.23
16039,22.43
16041,20.0
16043,19.56
16045,23.37
16047,23.07
16049,25.03
16051,16.48
16053,22.0
16055,23.02
16057,15.56
16059,23.49
16061,23.38
16063,21.76
16065,13.06
16067,21.88
16069,24.09
16071,20.7
16073,24.61
16075,24.13
16077,20.12
16079,26.58
16081,14.2
16083,23.49
16085,18.98
16087,25.14
17001,23.23
17003,27.96
17005,22.66
17007,21.82
17009,25.9
17011,24.13
17013,22.12
17015,22.01
17017,25.25
17019,17.19
17021,27.88
17023,23.83
17025,25.57
17027,22.96
17029,22.54
17031,19.26
17033,24.07
17035,24.2
17037,19.1
17039,24.21
17041,24.48
17043,14.88
17045,25.97
17047,24.52
17049,22.28
17051,25.03
17053,24.4
17055,25.94
17057,25.16
17059,26.76
17061,26.05
17063,23.38
17065,23.86
17067,23.23
17069,25.73
17071,23.38
17073,22.27
17075,24.31
17077,17.78
17079,23.18
17081,24.56
17083,23.55
17085,19.72
17087,24.56
17089,17.3
17091,25.43
17093,16.82
17095,25.32
17097,16.49
17099,24.3
17101,28.04
17103,24.84
17105,26.27
17107,25.64
17109,19.03
17111,18.57
17113,16.29
17115,24.6
17117,25.8
17119,23.89
17121,25.76
17123,22.78
17125,25.05
17127,24.16
17129,22.8
17131,23.59
17133,20.59
17135,27.7
17137,24.28
17139,24.94
17141,21.8
17143,20.74
17145,25.39
17147,20.78
17149,25.57
17151,24.81
17153,24.5
17155,23.35
17157,26.8
17159,23.3
17161,21.71
17163,23.05
17165,25.65
17167,22.19
17169,23.49
17171,23.09
17173,23.3
17175,23.01
17177,22.73
17179,21.56
17181,23.78
17183,26.86
17185,23.49
17187,23.99
17189,21.5
17191,25.31
17193,24.58
17195,23.5
17197,19.47
17199,22.64
17201,22.89
17203,19.42
18001,26.75
18003,23.2
18005,20.79
18007,25.03
18009,29.66
18011,18.26
18013,23.06
18015,24.44
18017,27.17
18019,27.16
18021,26.82
18023,25.66
18025,27.14
18027,28.77
18029,25.97
18031,26.06
18033,25.79
18035,25.73
18037,23.08
18039,23.65
18041,32.05
18043,25.79
18045,27.26
18047,25.42
18049,26.54
18051,24.8
18053,26.83
18055,27.75
18057,14.33
18059,23.69
18061,26.03
18063,20.28
18065,28.64
18067,25.56
18069,26.43
18071,25.82
18073,26.22
18075,29.29
18077,26.55
18079,27.94
18081,23.6
18083,27.08
18085,24.83
18087,27.37
18089,26.22
18091,28.75
18093,26.68
18095,27.68
18097,25.73
18099,24.64
18101,27.4
18103,30.2
18105,17.3
18107,24.94
18109,27.99
18111,29.56
18113,25.65
18115,25.04
18117,25.85
18119,28.55
18121,27.57
18123,28.95
18125,26.22
18127,24.09
18129,23.08
18131,25.99
18133,26.78
18135,27.32
18137,24.36
18139,27.15
18141,23.23
18143,29.72
18145,27.08
18147,23.36
18149,28.53
