state_code,state_fips,state_name,state_population,last_updated,date,weekday,covid,grade_total,n_grade_total,daily_distance_diff,grade_distance,n_grade_distance,daily_visitation_diff,grade_visitation,n_grade_visitation,encounters_rate,grade_encounters,n_grade_encounters
AK,02,Alaska,737438,2020-06-02 15:35:34.457534 UTC,2020-05-25,2,Post,D+,2.3,-0.01292006911571761,F,1,0.40611536889801564,F,1,-0.99794034258753817,A,5
AK,02,Alaska,737438,2020-06-02 15:35:34.457534 UTC,2020-04-30,5,Post,C-,2.7,-0.39808014436076672,D,2,-0.26676276941494953,F,1,-0.99907606562804541,A,5
AK,02,Alaska,737438,2020-06-02 15:35:34.457534 UTC,2020-04-06,2,Post,C,3,-0.50301407946844312,C,3,-0.48438837495949527,F,1,-0.99946759136846419,A,5
AK,02,Alaska,737438,2020-06-02 15:35:34.457534 UTC,2020-03-05,5,Pre,D+,2.3,-0.0765033154936522,F,1,-0.017591614308470643,F,1,-0.99681098016171743,A,5
WY,56,Wyoming,577737,2020-06-02 15:35:34.457534 UTC,2020-05-08,6,Post,D+,2.3,-0.11614998464352816,F,1,-0.3237530971315018,F,1,-0.97786818357242855,A,5
WY,56,Wyoming,577737,2020-06-02 15:35:34.457534 UTC,2020-03-11,4,Post,D+,2.3,-0.019152621530176415,F,1,-0.11474438093794675,F,1,-0.97215460450805324,A,5
MT,30,Montana,1062305,2020-06-02 15:35:34.457534 UTC,2020-05-07,5,Post,C-,2.7,-0.27425481554824238,D,2,-0.27780044220871286,F,1,-0.9822428556194448,A,5
NM,35,New Mexico,2095428,2020-06-02 15:35:34.457534 UTC,2020-04-09,5,Post,C+,3.3,-0.34612039159889191,D,2,-0.6152518927021331,C,3,-0.9855312734009769,A,5
ND,38,North Dakota,760077,2020-06-02 15:35:34.457534 UTC,2020-03-11,4,Post,D,2,-0.0083164025795773189,F,1,-0.11992069263670675,F,1,-0.92437672848713415,B,4
SD,46,South Dakota,882235,2020-06-02 15:35:34.457534 UTC,2020-04-15,4,Post,C-,2.7,-0.3554153315672744,D,2,-0.52661840418650041,F,1,-0.9855984988848957,A,5
