state_code,state_fips,state_name,state_population,last_updated,date,weekday,covid,grade_total,n_grade_total,daily_distance_diff,grade_distance,n_grade_distance,daily_visitation_diff,grade_visitation,n_grade_visitation,encounters_rate,grade_encounters,n_grade_encounters
KS,20,Kansas,2911505,2020-05-28 15:46:20.812598 UTC,2020-05-05,3,Post,D-,1.7,-0.22143151461071719,F,1,-0.26156088026125435,F,1,-0.78325554126249175,C,3
MN,27,Minnesota,5611179,2020-05-28 15:46:20.812598 UTC,2020-05-22,6,Post,F,1.3,-0.1136478773605471,F,1,-0.3492124208820131,F,1,-0.64016334239668748,D,2
NJ,34,New Jersey,8908520,2020-05-28 15:46:20.812598 UTC,2020-04-27,2,Post,C-,2.7,-0.4698133070531394,C,3,-0.67818215079892574,B,4,0.83353090788464446,F,1
OR,41,Oregon,4190713,2020-05-28 15:46:20.812598 UTC,2020-03-24,3,Post,C,3,-0.27843180258331612,D,2,-0.59390381860538954,D,2,-0.94269539280250025,A,5
OR,41,Oregon,4190713,2020-05-28 15:46:20.812598 UTC,2020-03-13,6,Post,D,2,-0.18357229758407898,F,1,-0.15112692480803772,F,1,-0.84251440698570823,B,4
FL,12,Florida,21299325,2020-05-28 15:46:20.812598 UTC,2020-05-04,2,Post,D-,1.7,-0.39767343101713037,D,2,-0.5593657203194955,D,2,0.78195105285763855,F,1
IA,19,Iowa,3156145,2020-05-28 15:46:20.812598 UTC,2020-04-19,1,Post,C-,2.7,-0.3874056279647316,D,2,-0.56253300668051665,D,2,-0.872615163383041,B,4
IA,19,Iowa,3156145,2020-05-28 15:46:20.812598 UTC,2020-05-19,3,Post,F,1.3,-0.15956412368450471,F,1,-0.12225430783782801,F,1,-0.68115705153676731,D,2
CA,06,California,39557045,2020-05-28 15:46:20.812598 UTC,2020-02-26,4,Pre,F,1,-0.016279676372432435,F,1,-0.24566286410936258,F,1,-0.1042641904636824,F,1
ND,38,North Dakota,760077,2020-05-28 15:46:20.812598 UTC,2020-05-25,2,Post,D+,2.3,-0.040549773614559283,F,1,-0.050326607287185049,F,1,-0.95392908184734226,A,5
VT,50,Vermont,626299,2020-05-28 15:46:20.812598 UTC,2020-04-20,2,Post,B-,3.7,-0.48659993663552142,C,3,-0.627912336859038,C,3,-0.97821544182819586,A,5
VT,50,Vermont,626299,2020-05-28 15:46:20.812598 UTC,2020-03-11,4,Post,D,2,-0.067233152199299928,F,1,-0.19861279061066486,F,1,-0.83290432051374763,B,4
TX,48,Texas,28701845,2020-05-28 15:46:20.812598 UTC,2020-04-02,5,Post,D+,2.3,-0.36678484599823152,D,2,-0.60797676284216684,C,3,-0.70989498524347028,D,2
AZ,04,Arizona,7171646,2020-05-28 15:46:20.812598 UTC,2020-05-16,7,Post,F,1.3,-0.18354243580529397,F,1,-0.36617674054420113,F,1,-0.6690892055488169,D,2
AZ,04,Arizona,7171646,2020-05-28 15:46:20.812598 UTC,2020-02-25,3,Pre,F,1.3,0.035991944197260775,F,1,0.014932994699071516,F,1,-0.4119912745019445,D,2
MD,24,Maryland,6042718,2020-05-28 15:46:20.812598 UTC,2020-05-05,3,Post,F,1.3,-0.36934309799260451,D,2,-0.50346565020095058,F,1,0.44531098527210689,F,1
MD,24,Maryland,6042718,2020-05-28 15:46:20.812598 UTC,2020-03-25,4,Post,D,2,-0.38054359942633337,D,2,-0.62069847788177568,C,3,-0.10298213510811871,F,1
MD,24,Maryland,6042718,2020-05-28 15:46:20.812598 UTC,2020-03-12,5,Post,F,1,-0.10654752529608376,F,1,-0.068095877857321366,F,1,2.2983127436784496,F,1
NV,32,Nevada,3034392,2020-05-28 15:46:20.812598 UTC,2020-03-19,5,Post,B-,3.7,-0.40499659233645,C,3,-0.68335907884898317,B,4,-0.92470836178162463,B,4
NV,32,Nevada,3034392,2020-05-28 15:46:20.812598 UTC,2020-05-01,6,Post,B,4,-0.48500350002736414,C,3,-0.6964576973985247,B,4,-0.95302509624724319,A,5
GA,13,Georgia,10519475,2020-05-28 15:46:20.812598 UTC,2020-04-28,3,Post,F,1,-0.24509992312271475,F,1,-0.40669334697477955,F,1,-0.14902889035430222,F,1
GA,13,Georgia,10519475,2020-05-28 15:46:20.812598 UTC,2020-04-21,3,Post,D-,1.7,-0.27400325598066033,D,2,-0.55481682236208563,D,2,-0.25232629460865419,F,1
GA,13,Georgia,10519475,2020-05-28 15:46:20.812598 UTC,2020-04-15,4,Post,F,1.3,-0.31377478505391004,D,2,-0.52951178571958912,F,1,-0.37613939967154064,F,1
GA,13,Georgia,10519475,2020-05-28 15:46:20.812598 UTC,2020-03-15,1,Post,F,1,-0.15772435692336126,F,1,-0.22318969851796416,F,1,0.0584239734539691,F,1
GA,13,Georgia,10519475,2020-05-28 15:46:20.812598 UTC,2020-04-02,5,Post,F,1.3,-0.28853655104234821,D,2,-0.503669835580585,F,1,-0.28101380287477473,F,1
DC,11,District of Columbia,702455,2020-05-28 15:46:20.812598 UTC,2020-03-12,5,Post,F,1,0.022506208027196981,F,1,-0.15649802648362321,F,1,144.13249155785419,F,1
DC,11,District of Columbia,702455,2020-05-28 15:46:20.812598 UTC,2020-03-01,1,Pre,F,1,-0.057568435900156076,F,1,-0.088563830887127118,F,1,104.01007885978224,F,1
WV,54,West Virginia,1805832,2020-05-28 15:46:20.812598 UTC,2020-03-23,2,Post,D+,2.3,-0.25267528963763913,D,2,-0.49145512927532081,F,1,-0.84876161537416073,B,4
WV,54,West Virginia,1805832,2020-05-28 15:46:20.812598 UTC,2020-04-04,7,Post,C-,2.7,-0.37538053583469266,D,2,-0.59314522473423215,D,2,-0.8991709355023626,B,4
WV,54,West Virginia,1805832,2020-05-28 15:46:20.812598 UTC,2020-03-09,2,Post,F,1.3,-0.021871235737047547,F,1,-0.037632875862715666,F,1,-0.53050027400318556,D,2
MS,28,Mississippi,2986530,2020-05-28 15:46:20.812598 UTC,2020-04-19,1,Post,B-,3.7,-0.51677201854797217,C,3,-0.6537719711217248,B,4,-0.86218687196952826,B,4
MI,26,Michigan,9995915,2020-05-28 15:46:20.812598 UTC,2020-03-01,1,Pre,F,1,-0.0027463920613310963,F,1,-0.012371329157105043,F,1,0.010749624710603145,F,1
WA,53,Washington,7535591,2020-05-28 15:46:20.812598 UTC,2020-05-21,5,Post,F,1.3,-0.20342394014782866,F,1,-0.39851252442719237,F,1,-0.716758716519508,D,2
WA,53,Washington,7535591,2020-05-28 15:46:20.812598 UTC,2020-04-30,5,Post,C-,2.7,-0.41842276557117797,C,3,-0.46961026935062083,F,1,-0.87720375013595109,B,4
WA,53,Washington,7535591,2020-05-28 15:46:20.812598 UTC,2020-03-08,1,Pre,F,1.3,-0.084375261162356191,F,1,-0.08474512268447594,F,1,-0.63796926185584613,D,2
NM,35,New Mexico,2095428,2020-05-28 15:46:20.812598 UTC,2020-05-21,5,Post,D+,2.3,-0.082082634977963392,F,1,-0.33688563926913379,F,1,-0.95499517651810617,A,5
NM,35,New Mexico,2095428,2020-05-28 15:46:20.812598 UTC,2020-05-15,6,Post,D+,2.3,-0.21956700813530261,F,1,-0.38880550144470311,F,1,-0.94469198936950394,A,5
NM,35,New Mexico,2095428,2020-05-28 15:46:20.812598 UTC,2020-03-17,3,Post,D+,2.3,0.033921407728354468,F,1,-0.17647527319103676,F,1,-0.95716456358831314,A,5
NM,35,New Mexico,2095428,2020-05-28 15:46:20.812598 UTC,2020-03-09,2,Post,D,2,0.013661924607294481,F,1,-0.013506004209663976,F,1,-0.92583368897396667,B,4
MO,29,Missouri,6126452,2020-05-28 15:46:20.812598 UTC,2020-04-29,4,Post,F,1.3,-0.24834774241187343,F,1,-0.42033734067923173,F,1,-0.64489121097070623,D,2
AL,01,Alabama,4887871,2020-05-28 15:46:20.812598 UTC,2020-04-23,5,Post,D-,1.7,-0.3628547682357588,D,2,-0.57322074874766393,D,2,-0.39503172883024218,F,1
WY,56,Wyoming,577737,2020-05-28 15:46:20.812598 UTC,2020-05-15,6,Post,D+,2.3,-0.051955005889196978,F,1,-0.15987974003178562,F,1,-0.97613633223189611,A,5
WY,56,Wyoming,577737,2020-05-28 15:46:20.812598 UTC,2020-04-06,2,Post,D+,2.3,-0.18950931784146768,F,1,-0.52857283761348006,F,1,-0.99465058515449323,A,5
WY,56,Wyoming,577737,2020-05-28 15:46:20.812598 UTC,2020-04-02,5,Post,C,3,-0.26249410825650016,D,2,-0.58491011790125291,D,2,-0.994973868470042,A,5
DE,10,Delaware,967171,2020-05-28 15:46:20.812598 UTC,2020-05-04,2,Post,D-,1.7,-0.38784646294488584,D,2,-0.55450851567797266,D,2,0.042817779935673039,F,1
DE,10,Delaware,967171,2020-05-28 15:46:20.812598 UTC,2020-04-07,3,Post,D+,2.3,-0.39307136524192982,D,2,-0.64522429777802925,C,3,-0.49845496701061609,D,2
